id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass,OccupancyClass_Actual,NumberOfUnits,NightPopulation,CensusBlock,CensusTract,FootprintID,geometry,DesignLevel,HeightClass
39,37.663828541940525,-122.11329764650992,830.0,2.0,1957.0,491907.32,327938.21,W1,W,RES1,RES1,1.0,5.0,60014369004004,6001436900,6066,POINT (-122.11329764650992 37.663828541940525),Moderate-Code,
40,37.67414098540877,-122.07054852338031,10144.79082503221,2.0,1974.0,6778101.76,5020816.12,W1,W,RES3,RES3E,20.0,53.0,60014364033005,6001436403,29225,POINT (-122.07054852338031 37.67414098540877),Moderate-Code,
41,37.646288866777034,-122.11586095949865,716.8,3.0,2009.0,510434.12,340289.41,W1,W,RES1,RES1,1.0,2.0,60014372005009,6001437200,21092,POINT (-122.11586095949865 37.646288866777034),High-Code,
42,37.635969843017214,-122.04994584020108,1312.6666666666667,3.0,2021.0,698798.1,465865.39999999997,W1,W,RES1,RES3B,3.0,0.0,60014351041009,6001435104,38267,POINT (-122.04994584020108 37.635969843017214),High-Code,
43,37.656929044277,-122.04624800325495,1868.0,1.0,1985.0,619527.96,413018.64,W1,W,RES1,RES1,1.0,2.0,60014351021015,6001435102,3175,POINT (-122.04624800325495 37.656929044277),High-Code,
44,37.64280905417294,-122.08536520613755,1042.0,1.0,1953.0,333033.35,222022.23,W1,W,RES1,RES1,1.0,4.0,60014374002006,6001437400,30186,POINT (-122.08536520613755 37.64280905417294),Moderate-Code,
45,37.64240437199026,-122.06816995579065,1632.26,1.0,1958.0,844796.1699999999,511997.68,S1,,EDU1,EDU1,0.0,0.0,60014378001005,6001437800,17851,POINT (-122.06816995579065 37.64240437199026),Moderate-Code,Low-Rise
46,37.64779706401591,-122.07266119545,527.45281149854,1.0,1952.0,628597.39,419064.93,W1,W,RES1,RES1,1.0,4.0,60014378003003,6001437800,21832,POINT (-122.07266119545 37.64779706401591),Moderate-Code,
47,37.621451552635094,-122.06779943109184,1863.33,1.0,1978.0,620431.5,413621.0,MH,H,RES2,RES2,1.0,4.0,60014382031035,6001438203,6998,POINT (-122.06779943109184 37.621451552635094),High-Code,
48,37.63500744664338,-122.09820609888682,1629.0,1.0,1971.0,275278.19999999995,183518.8,W1,W,RES1,RES1,1.0,2.0,60014373003005,6001437300,24613,POINT (-122.09820609888682 37.63500744664338),Moderate-Code,
49,37.62481439872213,-122.09497180053788,1360.0,1.0,1972.0,452583.55000000005,188576.48,PC1,,COM2,COM2,0.0,0.0,60014371022000,6001437102,346,POINT (-122.09497180053788 37.62481439872213),Moderate-Code,
