id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,BuildingType,StructureType,OccupancyClass_Actual,NightPopulation,DayPopulation,geometry,OccupancyClass,DesignLevel,HeightClass
35931,37.66548800000001,-122.108278,15537.0,1,1965,6093689.1899999995,4062459.46,W,W1,RES4,0,2,POINT (-122.108278 37.66548800000001),RES4,Moderate-Code,
35932,37.66455299999999,-122.10800000000002,4895.25,1,1965,1919941.56,1279961.04,C,C3,RES3B,4,2,POINT (-122.10800000000002 37.66455299999999),RES3,Low-Code,Low-Rise
35933,37.66456800000001,-122.10833399999999,2466.87,1,1965,967518.7660000001,645012.511,W,W1,RES3B,5,3,POINT (-122.10833399999999 37.66456800000001),RES3,Moderate-Code,
35934,37.664895,-122.10750299999998,1063.87,1,1965,417255.14099999995,278170.094,S,S3,RES3B,5,3,POINT (-122.10750299999998 37.664895),RES3,Moderate-Code,
35935,37.664953000000004,-122.10833999999998,1088.0,1,1965,232999.1508,155332.767,W,W1,RES1,1,0,POINT (-122.10833999999998 37.664953000000004),RES1,Moderate-Code,
35936,37.665101,-122.108008,7225.75,1,1965,1494061.275,996040.85,C,C2,RES3D,17,9,POINT (-122.108008 37.665101),RES3,Moderate-Code,Low-Rise
35937,37.66525299999999,-122.108335,1592.0,1,1965,290850.4217,193900.281,M,RM1,RES1,2,2,POINT (-122.108335 37.66525299999999),RES1,Moderate-Code,Low-Rise
35938,37.66445,-122.109643,2034.75,1,1965,431044.044,287362.696,W,W1,RES3B,12,6,POINT (-122.109643 37.66445),RES3,Moderate-Code,
35939,37.66447599999999,-122.110134,1500.0,1,1965,473366.704,315577.803,W,W1,RES3A,3,1,POINT (-122.110134 37.66447599999999),RES3,Moderate-Code,
35940,37.664483,-122.109203,1261.25,1,1965,421178.76599999995,280785.844,C,C2,RES3B,11,5,POINT (-122.109203 37.664483),RES3,Moderate-Code,Low-Rise
35941,37.66452,-122.10889800000001,3078.62,1,1965,1028066.895,685377.93,W,W1,RES3A,9,5,POINT (-122.10889800000001 37.66452),RES3,Moderate-Code,
35942,37.664657999999996,-122.109205,1278.75,1,1965,224392.0831,149594.722,W,W1,RES3A,8,4,POINT (-122.109205 37.664657999999996),RES3,Moderate-Code,
