loc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
30,2,2,3,2,3,0,1,2,1,2,2,2,2,0,2,2,1,1,1,1,2,2,0,2,2,1,1,2,1,2,2,3,2,3,2,1,2,2,2,2,2,2,3,1,1,0,2,2,2,2
31,0,2,2,2,1,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,1,2,1,2,3,2,3,1,2,2,1,3,2,2,2,2,1,1,3,2,2,1,2,4,2,2,2,3,2
32,2,1,3,1,1,2,2,1,2,0,2,1,1,1,3,2,0,1,1,1,2,1,2,0,1,1,1,2,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,1,2,1,2,1,2,1
33,2,1,2,1,2,0,2,2,1,1,2,1,1,0,2,1,2,1,2,2,2,1,0,1,1,2,1,1,1,2,1,1,2,3,2,2,2,1,2,1,3,2,2,2,2,1,1,1,1,1
34,3,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,0,2,1,1,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,2,3,2,1,1,1,2,2,2,1,1,1,1,1
35,2,1,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,2,1,2,1,2,2,1,2,3,3,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2
36,2,1,1,1,2,2,1,2,1,2,3,1,2,2,0,1,0,2,1,3,2,2,2,2,2,1,2,2,1,1,2,2,1,2,2,1,0,2,1,2,1,2,1,1,2,1,2,1,1,2
37,1,2,1,1,0,0,1,1,2,2,0,2,0,1,2,1,1,1,2,1,1,1,0,1,1,2,0,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
38,0,1,2,1,2,1,0,0,1,2,2,2,1,1,2,1,2,2,2,1,2,3,2,2,2,1,2,2,2,2,1,1,0,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,0
39,2,3,1,1,1,2,0,1,1,1,1,1,1,1,1,2,1,0,2,1,2,1,2,2,2,1,2,2,1,1,2,0,2,2,2,1,1,2,2,2,1,2,2,1,0,0,1,2,1,0
40,4,4,3,3,3,3,4,3,2,4,2,4,3,3,3,4,4,5,3,2,4,3,3,5,3,4,4,3,4,4,3,3,4,4,4,3,4,3,4,3,3,4,3,3,4,2,3,3,3,4
41,2,2,1,2,2,2,2,2,1,2,0,1,2,1,3,2,1,2,0,1,1,2,1,1,1,1,1,2,1,2,3,2,0,1,1,2,1,1,0,2,1,2,1,2,2,1,1,2,2,2
42,1,1,1,2,1,1,2,2,0,0,1,1,3,2,1,1,2,2,1,2,2,0,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,1,1,2,1,1,3,2,2,1,2,1,2,1
43,2,2,2,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,2,1,1,2,1,1,0,1,1,1,0,1,0,1,1,0,2,0,1,1,1,1,0,1,1,1,2,1,0,1,1,0
