id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,BuildingType,StructureType,OccupancyClass_Actual,OccupancyClass,NightPopulation,DayPopulation,geometry,DesignLevel,HeightClass,DS,DV
20388,37.64180700000001,-122.089437,1523.0,1,2017,525264.163,350176.109,W,W1,RES3B,RES3,7,3,POINT (-122.089437 37.64180700000001),High-Code,,1,0.08905999999999999
20389,37.63661400000001,-122.04580400000002,1457.5,2,1981,604777.929,403185.286,M,RM1,RES1,RES1,0,0,POINT (-122.04580400000002 37.63661400000001),High-Code,Low-Rise,2,0.18658000000000002
20390,37.63694399999999,-122.046038,1575.0,2,1981,469677.8520000001,313118.568,M,RM1,RES1,RES1,0,0,POINT (-122.046038 37.63694399999999),High-Code,Low-Rise,2,0.18912000000000004
20391,37.63648,-122.045712,1575.0,2,1981,469677.8520000001,313118.568,M,RM1,RES1,RES1,0,0,POINT (-122.04571200000001 37.63648),High-Code,Low-Rise,2,0.185
20392,37.63701,-122.045552,1575.0,2,1981,768397.833,512265.222,W,W1,RES1,RES1,0,0,POINT (-122.04555200000001 37.637010000000004),High-Code,,2,0.10294
20393,37.63634399999999,-122.045107,1350.5,2,1981,577907.287,385271.525,M,RM1,RES1,RES1,0,0,POINT (-122.045107 37.63634399999999),High-Code,Low-Rise,2,0.20912
20394,37.63704400000001,-122.04512800000002,1350.5,2,1981,577907.287,385271.525,W,W1,RES1,RES1,0,0,POINT (-122.04512800000002 37.63704400000001),High-Code,,1,0.13815999999999998
20395,37.63639,-122.044652,1283.0,2,1981,562403.746,374935.831,M,RM1,RES1,RES1,1,1,POINT (-122.04465199999999 37.63639),High-Code,Low-Rise,2,0.17832
20396,37.638492000000014,-122.046147,1283.0,2,1981,412713.556,275142.371,M,RM1,RES1,RES1,0,0,POINT (-122.04614699999999 37.638492000000014),High-Code,Low-Rise,2,0.21046000000000004
20397,37.638327,-122.04651200000002,1283.0,2,1981,412713.556,275142.371,W,W1,RES1,RES1,0,0,POINT (-122.04651200000002 37.638327),High-Code,,1,0.10882
20398,37.636722,-122.043909,1283.0,2,1981,412713.556,275142.371,M,RM1,RES1,RES1,2,2,POINT (-122.043909 37.636722),High-Code,Low-Rise,2,0.2206
20399,37.636547,-122.04428500000002,1283.0,2,1981,412713.556,275142.371,W,W1,RES1,RES1,0,0,POINT (-122.04428500000002 37.636547),High-Code,,2,0.10655999999999999
20400,37.637331999999994,-122.044817,1457.5,2,1981,445222.851,296815.234,M,RM1,RES1,RES1,0,0,POINT (-122.04481700000001 37.637331999999994),High-Code,Low-Rise,2,0.16577999999999998
20401,37.637480999999994,-122.044454,1575.0,2,1981,469677.8520000001,313118.568,M,RM1,RES1,RES1,1,1,POINT (-122.044454 37.637480999999994),High-Code,Low-Rise,2,0.19634000000000001
20402,37.637904,-122.045221,1350.5,2,1981,424567.273,283044.849,W,W1,RES1,RES1,2,2,POINT (-122.045221 37.637904),High-Code,,2,0.11349999999999999
20403,37.63694499999999,-122.04407299999998,1457.5,2,1981,445222.851,296815.234,M,RM1,RES1,RES1,0,0,POINT (-122.04407299999998 37.63694499999999),High-Code,Low-Rise,2,0.21326
20404,37.63823399999999,-122.045449,1575.0,2,1981,636376.986,424251.324,M,RM1,RES1,RES1,0,0,POINT (-122.045449 37.63823399999999),High-Code,Low-Rise,2,0.19736000000000004
20405,37.637474999999995,-122.04491500000002,1575.0,2,1981,469677.8520000001,313118.568,W,W1,RES1,RES1,0,0,POINT (-122.04491500000002 37.637474999999995),High-Code,,1,0.13656
20406,37.637162999999994,-122.044226,1575.0,2,1981,469677.8520000001,313118.568,M,RM1,RES1,RES1,0,0,POINT (-122.04422600000001 37.637162999999994),High-Code,Low-Rise,2,0.17190000000000003
20407,37.63704899999999,-122.044153,1350.5,2,1981,424567.273,283044.849,W,W1,RES1,RES1,0,0,POINT (-122.044153 37.63704899999999),High-Code,,1,0.13126
20408,37.636246,-122.043478,1350.5,2,1981,577907.287,385271.525,W,W1,RES1,RES1,1,1,POINT (-122.04347800000001 37.636246),High-Code,,1,0.11853999999999999
20409,37.637264,-121.98841500000002,1000.0,1,1980,294614.536,147307.268,C,C2,GOV1,GOV1,1,3,POINT (-121.98841500000002 37.637264),High-Code,Low-Rise,1,0.12099999999999998
20410,37.63631,-122.043977,1180.0,1,1981,244314.3738,162876.249,M,RM1,RES1,RES1,1,1,POINT (-122.043977 37.63631),High-Code,Low-Rise,2,0.18688
20411,37.63602399999999,-122.043718,1283.0,2,1981,562403.746,374935.831,M,RM1,RES1,RES1,2,2,POINT (-122.04371800000001 37.63602399999999),High-Code,Low-Rise,2,0.21166000000000001
20412,37.61219800000001,-122.097073,1343.5,2,2004,656558.094,437705.396,M,RM1,RES1,RES1,4,1,POINT (-122.097073 37.61219800000001),High-Code,Low-Rise,1,0.09842
20413,37.61222599999999,-122.09686000000002,1145.5,2,2004,602274.352,401516.235,M,RM1,RES1,RES1,5,2,POINT (-122.09686000000002 37.61222599999999),High-Code,Low-Rise,1,0.09429999999999998
