loc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
48,1,2,2,2,2,3,4,2,3,1,1,0,0,1,2,3,2,0,0,3,1,1,0,2,0,3,0,2,2,0,0,2,2,1,4,2,0,2,1,4,2,1,1,0,2,0,2,3,1,0
49,1,2,2,1,1,2,2,4,2,2,1,1,0,1,2,3,2,0,1,2,0,1,1,2,1,2,0,2,1,0,1,1,2,1,1,1,0,2,2,4,2,2,1,2,2,1,0,2,0,1
50,1,2,1,0,1,2,2,3,2,2,1,1,0,1,2,2,2,0,0,1,1,1,0,0,1,2,0,4,2,1,1,1,1,0,2,1,1,2,2,5,1,1,1,2,1,0,2,4,0,2
51,0,0,2,0,1,2,3,2,2,1,2,1,0,1,1,3,2,0,1,3,0,1,2,2,1,3,0,3,2,1,0,1,1,0,3,1,1,2,2,4,1,2,2,0,2,2,0,3,0,1
52,1,2,2,2,0,3,3,4,3,1,1,1,0,0,2,3,2,0,1,3,2,0,0,1,0,3,0,3,2,0,2,1,2,0,2,2,0,0,1,4,1,3,2,2,2,1,1,3,0,1
53,2,1,1,0,1,2,2,3,3,2,2,1,0,0,2,1,2,0,1,2,0,1,1,1,1,2,0,2,1,1,0,0,1,1,3,2,1,2,1,4,1,2,2,1,1,2,0,4,0,1
54,1,1,1,2,2,2,1,2,3,2,2,1,0,0,1,2,1,0,1,2,2,1,1,0,2,2,0,2,2,0,1,0,1,1,1,2,1,2,2,4,1,1,2,1,2,1,0,3,1,1
55,1,1,2,2,1,2,2,4,3,2,2,3,0,1,2,3,2,0,0,3,0,0,0,2,1,2,0,2,0,0,2,0,2,2,2,2,2,2,2,5,0,2,0,2,1,2,1,3,0,0
56,0,2,1,2,1,2,3,3,2,2,2,2,0,1,2,3,3,0,1,3,0,2,0,1,2,1,0,3,1,0,1,0,1,1,4,2,1,3,1,4,1,4,2,1,1,0,1,4,1,1
57,1,1,1,1,1,2,2,1,4,1,2,1,0,1,1,2,1,0,0,2,1,1,1,2,1,2,0,3,0,0,1,2,1,1,2,1,1,1,1,4,2,2,2,2,2,2,1,4,0,1
58,1,1,3,0,2,3,2,2,4,2,2,2,0,0,2,2,2,0,0,2,1,1,0,2,1,3,0,3,1,0,1,1,0,0,2,2,1,1,2,4,0,2,2,2,2,2,1,4,0,2
59,1,2,2,1,2,2,1,3,2,3,1,2,0,0,2,2,1,0,0,3,1,0,2,1,0,2,0,3,2,0,0,2,2,1,2,3,2,2,2,4,2,3,1,1,1,1,1,3,0,0
60,1,2,0,2,1,2,3,2,3,2,2,2,0,1,2,3,1,0,1,2,1,0,0,2,1,2,0,1,1,1,2,1,1,1,2,2,1,2,2,4,1,2,2,1,2,0,0,4,0,1
61,1,2,2,1,2,1,2,4,3,1,2,2,0,0,1,3,2,0,0,2,0,1,0,1,1,2,0,2,1,0,2,1,1,0,1,1,1,2,3,4,0,2,1,1,2,2,1,3,0,1
62,0,1,1,0,2,2,3,2,3,2,2,1,0,0,3,2,1,0,2,2,1,0,1,2,2,2,0,3,0,0,0,2,2,0,3,2,1,2,4,4,2,2,2,2,2,2,0,2,0,1
63,1,1,2,2,1,2,2,4,2,0,1,2,0,1,2,1,3,1,1,2,1,1,1,0,1,1,0,2,1,0,2,1,1,0,2,1,0,2,2,4,0,2,2,1,2,1,0,3,0,0
64,2,2,2,0,2,2,4,4,3,3,2,1,0,1,2,2,2,0,0,2,1,0,0,1,1,2,1,2,2,0,2,1,2,0,2,2,0,2,2,4,1,2,0,1,0,2,0,3,0,1
65,2,2,2,0,2,2,3,4,3,3,1,3,0,0,2,2,3,0,2,3,1,0,0,2,1,3,0,3,0,0,0,0,2,0,3,2,0,2,2,4,0,2,2,2,1,1,0,3,0,1
