id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,BuildingType,StructureType,OccupancyClass_Actual,OccupancyClass,NightPopulation,geometry,DesignLevel,HeightClass
0,37.663408439553336,-122.07575996374943,1412.0,1.0,1968,408810.67,302822.72,W,W1,RES3B,RES1,6,POINT Z (-122.07575996374943 37.663408439553336 0),Moderate-Code,
1,37.67341382172386,-122.08111857140358,671.49,3.0,1975,1219328.12,567129.36,W,W2,COM8,COM8,1,POINT Z (-122.08111857140358 37.67341382172386 0),High-Code,
2,37.627433968414145,-122.06024751518818,723.5,2.0,1977,444142.78,296095.19,W,W1,RES1,RES1,2,POINT Z (-122.06024751518818 37.627433968414145 0),High-Code,
3,37.66693317036071,-122.08499424779573,690.5,2.0,1971,411488.85000000003,274325.9,W,W1,RES1,RES1,2,POINT Z (-122.08499424779573 37.66693317036071 0),Moderate-Code,
4,37.62691374794282,-122.04298142049326,911.135,2.0,1960,1556794.4300000002,576590.53,W,MH,IND5,IND5,0,POINT Z (-122.04298142049326 37.62691374794282 0),Moderate-Code,
5,37.64641016262085,-122.08237680843102,13662.0,1.0,1960,3373611.16,2498971.23,W,W1,RES3C,RES3,5,POINT Z (-122.08237680843102 37.64641016262085 0),Moderate-Code,
6,37.63863739154489,-122.0871064706245,1406.0,1.0,1978,431414.55000000005,287609.7,W,W1,RES1,RES1,4,POINT Z (-122.0871064706245 37.63863739154489 0),High-Code,
7,37.63536656361542,-122.07488035976155,1060.0,1.0,1972,312153.63,183619.78,C,C2,GOV1,GOV1,2,POINT Z (-122.07488035976155 37.63536656361542 0),Moderate-Code,Low-Rise
8,37.677970097905245,-122.07402038531116,1825.0,1.0,1962,543181.86,362121.24,W,W1,RES1,RES1,2,POINT Z (-122.07402038531116 37.677970097905245 0),Moderate-Code,
9,37.6399975307182,-122.08148448612152,1272.0,1.0,1960,388728.94,259152.63,W,W1,RES1,RES1,3,POINT Z (-122.08148448612152 37.6399975307182 0),Moderate-Code,
10,37.67771078583348,-122.0771223624512,3251.0,1.0,1975,1355064.11,874234.91,C,PC1,COM4,COM4,0,POINT Z (-122.0771223624512 37.67771078583348 0),High-Code,
11,37.67643706948052,-122.09053435511777,1077.0,1.0,1957,248365.44,165576.96,W,W1,RES1,RES1,2,POINT Z (-122.09053435511777 37.67643706948052 0),Moderate-Code,
12,37.62297708511127,-122.07611604575042,1918.0,1.0,1963,1220114.36,567495.05,C,C2,COM8,COM8,2,POINT Z (-122.07611604575042 37.62297708511127 0),Moderate-Code,Low-Rise
13,37.66689749790821,-122.09765266529593,1277.0,1.0,2008,445219.87,329792.5,W,W1,RES3A,RES1,7,POINT Z (-122.09765266529593 37.66689749790821 0),High-Code,
14,37.639490349737194,-122.09599644481447,1332.0,1.0,1959,241766.15,161177.43,W,W1,RES1,RES1,4,POINT Z (-122.09599644481447 37.639490349737194 0),Moderate-Code,
15,37.65523220917045,-122.056015032149,68.91333333333334,3.0,1983,111126.62,44450.65,S,S4,COM3,COM3,2,POINT Z (-122.056015032149 37.65523220917045 0),High-Code,Low-Rise
16,37.65970981018292,-122.09807817406941,1052.0,1.0,1972,368790.27,245860.18,W,W1,RES1,RES1,2,POINT Z (-122.09807817406941 37.65970981018292 0),Moderate-Code,
17,37.63899211000006,-122.06614326899997,1180.0,2.0,1958,872256.74,581504.49,W,W1,RES1,RES1,2,POINT Z (-122.06614326899997 37.63899211000006 0),Moderate-Code,
18,37.64720993309665,-122.0768914015848,915.5,2.0,1958,739449.48,492966.32,W,W1,RES1,RES1,4,POINT Z (-122.0768914015848 37.64720993309665 0),Moderate-Code,
19,37.61939707059254,-122.0675036395464,1154.0,2.0,1978,706152.07,470768.05,W,W1,RES1,RES1,4,POINT Z (-122.0675036395464 37.61939707059254 0),High-Code,
20,37.68315184382447,-122.06658933566392,2371.0,1.0,1962,634886.23,423257.49,W,W1,RES1,RES1,2,POINT Z (-122.06658933566392 37.68315184382447 0),Moderate-Code,
21,37.677357875263354,-122.09064408563029,2085.735,2.0,1957,943861.61,699156.75,W,W1,RES3D,RES3,24,POINT Z (-122.09064408563029 37.677357875263354 0),Moderate-Code,
22,37.62203031075412,-122.07523288905553,1712.0,1.0,1963,1093218.05,508473.51,M,RM1,COM8,COM8,2,POINT Z (-122.07523288905553 37.62203031075412 0),Moderate-Code,Low-Rise
23,37.62953993043983,-122.07769171780518,1000.0,1.0,1963,338658.69,225772.46,W,W1,RES1,RES1,4,POINT Z (-122.07769171780518 37.62953993043983 0),Moderate-Code,
24,37.64108979449224,-122.09281099776622,1285.0,1.0,1959,235781.33,157187.55,W,W1,RES1,RES1,4,POINT Z (-122.09281099776622 37.64108979449224 0),Moderate-Code,
25,37.61836778449203,-122.0926373435378,1404.0,1.0,2000,693286.37,462190.91,W,W1,RES1,RES1,2,POINT Z (-122.0926373435378 37.61836778449203 0),High-Code,
26,37.63977658878169,-122.10172235392676,1359.0,1.0,1959,453004.39,302002.93,W,W1,RES1,RES1,2,POINT Z (-122.10172235392676 37.63977658878169 0),Moderate-Code,
27,37.62297881071899,-122.06448849780034,9481.0,1.0,1977,1567517.76,783758.88,H,MH,RES2,RES2,3,POINT Z (-122.06448849780034 37.62297881071899 0),High-Code,
28,37.662997445610024,-122.09558506846784,1500.0,1.0,2008,504000.15,373333.44,W,W1,RES3A,RES1,2,POINT Z (-122.09558506846784 37.662997445610024 0),High-Code,
29,37.63074804733896,-122.10480620873561,1128.0,1.0,2000,762154.7,508103.13,W,W1,RES1,RES1,4,POINT Z (-122.10480620873561 37.63074804733896 0),High-Code,
30,37.65275674132333,-122.05260753234927,14546.5025,4.0,1983,14213029.47,10528169.98,M,RM2,RES3D,RES3,53,POINT Z (-122.05260753234927 37.65275674132333 0),High-Code,Mid-Rise
31,37.6549268924066,-122.09482217989937,1196.0,1.0,1966,392575.66,261717.11,W,W1,RES1,RES1,3,POINT Z (-122.09482217989937 37.6549268924066 0),Moderate-Code,
32,37.65889179486763,-122.08046598580371,1381.0,1.0,1958,305299.76,203533.17,W,W1,RES1,RES1,3,POINT Z (-122.08046598580371 37.65889179486763 0),Moderate-Code,
