id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,BuildingType,StructureType,OccupancyClass_Actual,OccupancyClass,NightPopulation,geometry,DesignLevel,HeightClass
40,37.62453180374009,-122.08549491998066,1000.0,1.0,1966,338429.15,225619.43,W,W1,RES1,RES1,2,POINT Z (-122.08549491998066 37.62453180374009 0),Moderate-Code,
41,37.66254231323451,-122.043679025993,1956.0,1.0,1965,968444.23,645629.49,W,W1,RES1,RES1,3,POINT Z (-122.043679025993 37.66254231323451 0),Moderate-Code,
42,37.63946605582778,-122.08942815848457,1034.0,1.0,1978,330476.47,220317.65,W,W1,RES1,RES1,4,POINT Z (-122.08942815848457 37.63946605582778 0),High-Code,
43,37.66403574814954,-122.10547256279007,700.0,1.0,1972,245392.77,163595.18,W,W1,RES1,RES1,2,POINT Z (-122.10547256279007 37.66403574814954 0),Moderate-Code,
44,37.64852725847382,-122.00496639286561,1001.3333333333334,3.0,1993,1449525.16,966350.11,W,W1,RES1,RES1,2,POINT Z (-122.00496639286561 37.64852725847382 0),High-Code,
45,37.65279150237814,-122.07491903890366,952.0,1.0,1958,224838.81,149892.54,W,W1,RES1,RES1,3,POINT Z (-122.07491903890366 37.65279150237814 0),Moderate-Code,
46,37.63989110347614,-122.08407955912804,1081.0,1.0,1978,345498.13,230332.09,W,W1,RES1,RES1,4,POINT Z (-122.08407955912804 37.63989110347614 0),High-Code,
47,37.650696129344496,-122.11289799544939,1458.0,1.0,1984,439590.32999999996,325622.47,M,RM1,RES3A,RES1,4,POINT Z (-122.11289799544939 37.650696129344496 0),High-Code,Low-Rise
48,37.63310609050005,-122.10272643149997,955.5,2.0,1972,376812.92,251208.61,W,W1,RES1,RES1,3,POINT Z (-122.10272643149997 37.63310609050005 0),Moderate-Code,
49,37.64018140007375,-122.10198692123126,1181.0,1.0,1959,404580.32999999996,269720.22,W,W1,RES1,RES1,2,POINT Z (-122.10198692123126 37.64018140007375 0),Moderate-Code,
