id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass_Actual,NumberOfUnits,NightPopulation,DayPopulation,CensusBlock,CensusTract,FootprintID,geometry,OccupancyClass,DesignLevel,HeightClass
32528,37.61036713992057,-122.09320946782753,1343.5,2.0,2004.0,656558.094,437705.396,W1,W,RES1,1.0,5.0,3.0,60014371011110,6001437101,35881,POINT (-122.09320946782753 37.61036713992057),RES1,High-Code,
32529,37.623282509309945,-122.09886061866469,2269.0,1.0,1976.0,517476.25,344984.167,W1,W,RES1,1.0,2.0,1.0,60014371012015,6001437101,35882,POINT (-122.09886061866469 37.623282509309945),RES1,High-Code,
32530,37.623097975151346,-122.0990153870052,1543.5,2.0,1976.0,628156.8929999999,418771.262,W1,W,RES1,1.0,2.0,0.0,60014371012015,6001437101,35884,POINT (-122.0990153870052 37.623097975151346),RES1,High-Code,
32531,37.62307303029562,-122.09935725274951,864.0,1.0,1976.0,298982.9446,199321.963,W1,W,RES1,1.0,1.0,0.0,60014371012015,6001437101,35885,POINT (-122.09935725274951 37.62307303029562),RES1,High-Code,
32532,37.66293624235925,-122.05004124759786,1676.0,1.0,1971.0,426562.39,284374.927,W1,W,RES1,1.0,3.0,2.0,60014364022003,6001436402,35886,POINT (-122.05004124759786 37.66293624235925),RES1,Moderate-Code,
32533,37.63412123763539,-122.05883736902805,1497.0,1.0,1972.0,241886.64299999998,161257.762,W1,W,RES1,1.0,4.0,2.0,60014382042014,6001438204,35887,POINT (-122.05883736902805 37.63412123763539),RES1,Moderate-Code,
32534,37.652847108700016,-122.07275088604838,1176.0,1.0,1959.0,350765.478,233843.652,W1,W,RES1,1.0,4.0,2.0,60014366013008,6001436601,35888,POINT (-122.07275088604838 37.652847108700016),RES1,Moderate-Code,
32535,37.63735004230501,-122.0675329390562,2172.37,1.0,1981.0,588259.1410000001,392172.761,W1,W,RES3B,3.0,10.0,4.0,60014377011001,6001437701,35889,POINT (-122.0675329390562 37.63735004230501),RES3,High-Code,
32536,37.66015484311305,-122.05041752053252,2083.5,2.0,1988.0,774746.514,516497.676,W1,W,RES1,1.0,3.0,2.0,60014351021003,6001435102,35891,POINT (-122.05041752053252 37.66015484311305),RES1,High-Code,
32537,37.646011501295234,-122.09067990709678,1081.0,1.0,1956.0,432434.12400000007,288289.416,W1,W,RES1,1.0,5.0,2.0,60014374001006,6001437400,35892,POINT (-122.09067990709678 37.646011501295234),RES1,Moderate-Code,
32538,37.64609765416066,-122.09055401291523,1081.0,1.0,1956.0,432434.12400000007,288289.416,W1,W,RES1,1.0,5.0,2.0,60014374001006,6001437400,35893,POINT (-122.09055401291523 37.64609765416066),RES1,Moderate-Code,
32539,37.628015436549205,-122.07790897966922,1000.0,1.0,1955.0,220952.16,147301.44,W1,W,RES1,1.0,4.0,3.0,60014382011000,6001438201,35894,POINT (-122.07790897966922 37.628015436549205),RES1,Moderate-Code,
32540,37.62886298942368,-122.09046865133216,1119.0,1.0,1956.0,236957.9806,157971.987,W1,W,RES1,1.0,6.0,2.0,60014383002003,6001438300,35895,POINT (-122.09046865133216 37.62886298942368),RES1,Moderate-Code,
32541,37.661083756174335,-122.09267464301674,991.0,2.0,2011.0,2183967.4590000003,1455978.3060000003,W1,W,RES3A,2.0,0.0,0.0,60014363004014,6001436300,35896,POINT (-122.09267464301674 37.661083756174335),RES3,High-Code,
32542,37.6398397303282,-122.06584669289649,1180.0,2.0,1975.0,587813.091,391875.394,W1,W,RES1,1.0,5.0,3.0,60014378001025,6001437800,35897,POINT (-122.06584669289649 37.6398397303282),RES1,High-Code,
