id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass_Actual,NumberOfUnits,CensusBlock,CensusTract,FootprintID,geometry,OccupancyClass,DesignLevel,HeightClass
0,37.66548979083664,-122.086961126012,2563.0,2.0,1987.0,909608.7,606405.7999999999,W1,W,RES3B,4.0,60014363021007.0,6001436302.0,32230.0,POINT (-122.086961126012 37.66548979083664),RES3,High-Code,
1,37.657886694202396,-122.08159853006829,1104.0,1.0,1950.0,282447.36,188298.24,W1,W,RES1,1.0,60014366011005.0,6001436601.0,9978.0,POINT (-122.08159853006829 37.657886694202396),RES1,Moderate-Code,
2,37.62674400669291,-122.08022494625767,1242.191234170299,1.0,1955.0,317802.2053501293,211868.1369000862,W1,W,RES1,1.0,60014382012002.0,6001438201.0,17371.0,POINT (-122.08022494625767 37.62674400669291),RES1,Moderate-Code,
3,37.64378662250893,-122.1116270778424,1333.3333333333333,1.5,1997.0,511680.0,341120.0,W1,W,RES1,1.0,60014372002000.0,6001437200.0,37255.0,POINT (-122.1116270778424 37.64378662250893),RES1,High-Code,
4,37.64922894942252,-122.04164316016242,2233.14684292,2.0,1982.0,571328.2882926528,380885.5255284352,W1,W,RES1,1.0,60014351023006.0,6001435102.0,17949.0,POINT (-122.04164316016242 37.64922894942252),RES1,High-Code,
5,37.63410420196065,-122.07229836493266,2352.806022006249,2.0,1995.0,1765945.6159372302,1177297.0772914868,W1,W,RES3C,5.0,60014377013000.0,6001437701.0,15286.0,POINT (-122.07229836493266 37.63410420196065),RES3,High-Code,
6,37.65699323173834,-122.02009187055107,1826.5,2.0,1993.0,934583.52,623055.68,W1,W,RES1,1.0,60014351021001.0,6001435102.0,20589.0,POINT (-122.02009187055107 37.65699323173834),RES1,High-Code,
7,37.64636003571244,-122.09140861009202,1040.0,1.0,1955.0,266073.6,177382.4,W1,W,RES1,1.0,60014374001014.0,6001437400.0,8283.0,POINT (-122.09140861009202 37.64636003571244),RES1,Moderate-Code,
8,37.63061202098897,-122.08792811246835,1119.0,1.0,1956.0,286284.96,190856.64,W1,W,RES1,1.0,60014383001002.0,6001438300.0,18839.0,POINT (-122.08792811246835 37.63061202098897),RES1,Moderate-Code,
9,37.67520597325202,-122.09426695355246,3493.00971113,1.0,1941.0,893651.6044954993,595767.7363303328,W1,W,RES1,1.0,60014355003016.0,6001435500.0,4737.0,POINT (-122.09426695355246 37.67520597325202),RES1,Moderate-Code,
10,37.64683854259294,-122.09427567169297,1997.168436965404,1.0,1958.0,510955.572913229,340637.0486088193,W1,W,RES1,1.0,60014368002002.0,6001436800.0,1576.0,POINT (-122.09427567169297 37.64683854259294),RES1,Moderate-Code,
11,37.66373143054135,-122.08601986432153,1399.2254032734918,1.0,1965.0,282440.6437777707,188293.76251851377,W1,W,RES3A,2.0,60014363023002.0,6001436302.0,27290.0,POINT (-122.08601986432153 37.66373143054135),RES3,Moderate-Code,
12,37.62672680725694,-122.0630311627704,1200.0,2.0,2002.0,614016.0,409344.0,W1,W,RES1,1.0,60014382041016.0,6001438204.0,8063.0,POINT (-122.0630311627704 37.62672680725694),RES1,High-Code,
13,37.62911850234395,-122.07064349660304,787.4664506046288,1.0,1990.0,201465.4167226882,134310.27781512548,W1,W,RES1,1.0,60014382032011.0,6001438203.0,29257.0,POINT (-122.07064349660304 37.62911850234395),RES1,High-Code,
14,37.63120751315309,-122.06143410996825,86.36815853960059,1.0,1964.0,9576.501418870914,6384.334279247276,MH,H,RES2,1.0,60014382041005.0,6001438204.0,2173.0,POINT (-122.06143410996825 37.63120751315309),RES2,Moderate-Code,
15,37.64366143559318,-122.13390740917906,32386.666883324517,1.0,1990.0,6581132.644025957,4387421.762683972,RM1,M,COM2,1.0,60014371014055.0,6001437101.0,31572.0,POINT (-122.13390740917906 37.64366143559318),COM2,High-Code,Low-Rise
16,37.67976860714153,-122.08756848333553,2094.0,2.0,1968.0,1071457.92,714305.28,W1,W,RES1,1.0,60014355002007.0,6001435500.0,7649.0,POINT (-122.08756848333553 37.67976860714153),RES1,Moderate-Code,
17,37.661223015897846,-122.10046800415004,1574.4399874265532,1.0,1959.0,317808.58366198686,211872.38910799124,W1,W,RES3A,2.0,60014367001008.0,6001436700.0,31445.0,POINT (-122.10046800415004 37.661223015897846),RES3,Moderate-Code,
