loc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
10,0.02,0.402,0.02,0.1,0.02,0.402,0.02,0.1,0.02,0.1,0.02,0.02,0.02,0.02,0.02,0.402,0.1,0.0,0.02,0.02,0.1,0.02,0.0,0.02,0.02,0.1,0.0,1.0,0.402,0.0,0.1,0.0,0.02,0.02,0.1,0.0,0.1,0.402,0.1,1.0,0.02,0.1,0.1,0.1,0.1,0.1,0.0,0.402,0.02,0.1
11,0.1,0.02,0.1,0.0,0.1,0.1,0.1,0.1,0.391,0.1,0.0,0.02,0.0,0.0,0.02,0.391,0.02,0.0,0.0,0.1,0.02,0.02,0.02,0.1,0.02,0.1,0.0,0.1,0.02,0.02,0.02,0.0,0.02,0.0,0.02,0.1,0.02,0.1,0.1,1.0,0.02,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0
12,0.0,0.1,0.1,0.02,0.0,0.1,0.1,1.0,0.391,0.02,0.0,0.1,0.0,0.0,0.02,0.391,0.1,0.0,0.0,0.1,0.0,0.02,0.0,0.02,0.0,0.1,0.0,0.1,0.1,0.0,0.02,0.02,0.1,0.0,0.391,0.391,0.0,0.391,0.02,1.0,0.1,0.1,0.02,1.0,0.1,0.02,0.02,1.0,0.0,0.02
13,0.1,0.391,0.1,0.02,0.02,0.391,0.391,0.391,0.391,0.1,0.1,0.1,0.0,0.02,0.02,0.391,0.391,0.02,0.02,0.1,0.02,0.1,0.0,0.391,0.1,0.1,0.0,0.391,0.02,0.1,0.02,0.0,0.391,0.1,0.391,0.1,0.02,0.1,0.1,1.0,0.1,0.1,0.391,0.1,0.1,0.391,0.02,1.0,0.02,0.1
14,0.1,0.1,0.0,0.02,0.02,0.1,0.02,0.1,0.1,0.1,0.447,0.02,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.447,0.0,0.02,0.0,0.02,0.0,0.1,0.0,0.1,0.02,0.0,0.02,0.02,0.02,0.02,0.447,0.1,0.0,0.02,0.1,1.0,0.02,0.1,0.02,0.02,0.447,0.02,0.02,0.1,0.0,0.02
15,0.02,0.1,0.02,0.0,0.02,0.1,0.1,0.02,0.1,0.02,0.02,0.02,0.0,0.0,0.1,1.0,0.1,0.0,0.0,1.0,0.0,0.02,0.0,0.02,0.1,0.1,0.0,0.1,0.1,0.02,0.1,0.02,0.0,0.0,0.1,0.02,0.0,0.02,0.02,1.0,0.02,0.1,0.1,0.02,0.447,0.02,0.02,0.1,0.02,0.02
16,0.02,0.447,0.02,0.02,0.02,0.1,0.02,0.1,0.1,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.1,0.0,0.0,1.0,0.02,0.0,0.0,0.0,0.02,0.447,0.0,0.447,0.02,0.02,0.1,0.02,0.02,0.02,0.1,0.02,0.02,0.1,0.1,1.0,0.02,0.02,0.02,0.1,0.1,0.02,0.02,0.02,0.0,0.02
17,0.1,0.1,0.02,0.02,0.0,0.1,0.1,0.02,0.447,0.447,0.447,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.02,0.1,0.0,0.1,0.02,0.0,0.1,0.02,0.1,0.02,0.1,0.02,0.0,0.02,0.02,1.0,0.0,0.1,0.02,0.02,0.02,0.1,0.1,0.1,0.02,0.02
18,0.02,0.02,0.02,0.1,0.02,0.1,0.1,0.1,0.1,0.02,0.1,0.02,0.0,0.0,0.0,0.1,0.1,0.0,0.02,0.1,0.0,0.1,0.02,0.02,0.1,0.1,0.0,0.447,0.02,0.0,0.1,0.02,0.02,0.02,0.447,0.1,0.0,0.02,0.1,1.0,0.02,0.1,0.1,0.02,0.1,0.02,0.02,0.02,0.0,0.02
19,0.1,0.02,0.402,0.1,0.0,0.1,0.402,0.1,0.1,0.402,0.402,0.1,0.0,0.0,0.1,0.1,0.402,0.0,0.0,0.402,0.0,0.0,0.0,0.1,0.1,0.1,0.0,1.0,0.1,0.0,0.1,0.02,0.0,0.02,1.0,0.1,0.02,0.402,0.02,1.0,0.02,0.1,0.402,0.02,0.1,0.02,0.02,0.402,0.0,0.0
20,0.1,0.1,0.1,0.1,0.02,0.402,0.402,0.402,0.402,0.402,0.1,0.402,0.0,0.0,0.1,0.402,0.402,0.0,0.0,0.402,0.0,0.1,0.02,0.402,0.0,0.402,0.1,0.402,0.402,0.0,0.402,0.1,0.02,0.02,0.402,0.1,0.0,0.1,0.1,1.0,0.1,0.402,0.1,0.1,0.402,0.1,0.02,1.0,0.02,0.0
21,0.1,0.02,0.02,0.02,0.0,0.02,0.1,0.1,0.1,0.1,0.1,0.02,0.0,0.0,0.02,1.0,0.1,0.0,0.0,0.1,0.0,0.02,0.02,0.02,0.0,0.02,0.0,0.1,0.02,0.0,0.02,0.0,0.02,0.02,0.1,0.02,0.0,0.1,0.02,1.0,0.02,0.1,0.02,0.1,0.1,0.1,0.1,0.447,0.02,0.02
22,0.447,0.1,0.02,0.02,0.02,0.1,0.02,0.1,0.1,0.1,0.1,0.02,0.0,0.0,0.02,0.447,0.02,0.0,0.02,0.447,0.0,0.02,0.02,0.02,0.0,0.02,0.02,0.447,0.02,0.0,0.02,0.0,0.0,0.0,0.447,0.02,0.0,0.02,0.02,1.0,0.02,0.1,0.1,0.02,0.02,0.02,0.02,0.1,0.0,0.02
23,0.1,0.02,0.1,0.02,0.02,0.447,0.1,0.1,0.1,0.1,0.1,0.02,0.0,0.0,0.02,0.1,0.1,0.0,0.02,0.1,0.0,0.1,0.0,0.1,0.02,0.02,0.0,0.1,0.02,0.0,0.1,0.0,0.02,0.02,0.1,0.1,0.0,0.1,0.1,1.0,0.02,0.02,0.02,0.02,0.1,0.0,0.02,0.447,0.0,0.02
24,0.02,0.1,0.1,0.02,0.02,0.02,0.1,0.447,0.447,0.1,0.02,0.02,0.0,0.0,0.02,0.1,0.02,0.0,0.0,0.1,0.02,0.0,0.0,0.02,0.0,0.1,0.02,0.1,0.447,0.0,0.1,0.02,0.0,0.0,0.447,0.1,0.02,0.0,0.02,1.0,0.02,0.1,0.02,0.02,0.02,0.02,0.0,1.0,0.0,0.02
25,0.1,0.02,0.02,0.02,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.02,0.0,0.0,0.02,1.0,0.02,0.0,0.02,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.1,0.02,0.0,0.1,0.02,0.02,0.02,0.1,0.02,0.02,0.1,0.02,1.0,0.0,0.1,0.0,0.1,0.1,0.1,0.02,0.447,0.0,0.0
26,0.447,0.1,0.02,0.02,0.02,0.1,0.447,0.1,0.1,0.1,0.02,0.02,0.0,0.0,0.0,0.1,0.1,0.0,0.02,0.02,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.1,0.02,0.0,0.1,0.02,0.0,0.0,0.1,0.02,0.0,0.02,0.02,1.0,0.0,0.1,0.02,0.02,0.02,0.02,0.02,0.1,0.0,0.02
27,0.02,0.02,0.0,0.02,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.02,0.447,0.02,0.0,0.0,0.447,0.02,0.1,0.02,0.02,0.1,0.02,0.0,0.1,0.02,0.0,0.02,0.02,0.1,0.0,0.1,0.02,0.0,0.1,0.1,0.447,0.02,0.02,0.02,0.02,0.1,0.02,0.02,0.1,0.02,0.0
28,0.02,0.1,0.1,0.02,0.0,0.02,0.1,0.1,0.1,0.447,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.02,0.02,0.02,0.0,0.1,0.02,0.1,0.02,0.0,0.02,0.0,0.02,0.0,0.1,0.02,0.0,0.1,0.1,1.0,0.0,0.1,0.02,0.1,0.02,0.1,0.0,0.1,0.0,0.02
29,0.447,0.02,0.1,0.1,0.0,0.1,0.1,0.02,0.1,0.1,0.02,0.02,0.0,0.02,0.1,0.02,0.1,0.0,0.0,0.1,0.0,0.02,0.0,0.02,0.02,0.1,0.02,0.1,0.02,0.0,0.1,0.02,0.02,0.0,0.1,0.02,0.0,0.1,0.1,1.0,0.1,0.1,0.02,0.02,0.1,0.1,0.02,0.1,0.02,0.02
30,0.02,0.1,0.02,0.02,0.1,0.1,0.1,0.02,0.1,0.1,0.1,0.02,0.0,0.02,0.02,0.1,0.1,0.0,0.0,0.1,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.1,0.1,0.0,0.1,0.02,0.02,0.02,0.1,0.1,0.0,0.1,0.02,1.0,0.02,0.1,0.02,0.02,0.1,0.0,0.02,0.1,0.02,0.02
31,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.02,0.02,0.0,0.02,0.1,1.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.02,0.0,0.447,0.1,0.0,0.1,0.02,0.0,0.02,0.1,0.02,0.0,0.0,0.02,1.0,0.0,0.1,0.1,0.1,0.1,0.02,0.02,0.1,0.02,0.1
32,0.1,0.02,0.02,0.1,0.02,0.447,0.1,0.1,0.1,0.02,0.0,0.1,0.0,0.02,0.1,0.02,0.1,0.0,0.02,0.02,0.0,0.1,0.0,0.02,0.0,0.1,0.0,0.1,0.02,0.0,0.02,0.0,0.1,0.0,0.1,0.02,0.0,0.1,0.1,1.0,0.02,0.447,0.02,0.02,0.1,0.1,0.02,0.447,0.02,0.02
33,0.1,0.02,0.02,0.02,0.02,0.447,0.1,0.1,0.447,0.1,0.1,0.447,0.0,0.0,0.02,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.1,0.02,0.0,0.1,0.02,0.0,0.0,0.447,0.02,0.02,0.1,0.02,1.0,0.0,0.447,0.0,0.02,0.1,0.02,0.02,0.1,0.0,0.02
34,0.02,0.02,0.02,0.02,0.02,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.02,0.0,0.02,0.1,0.02,0.0,0.0,0.02,0.02,0.02,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.02,0.02,0.02,0.1,0.02,0.1,1.0,0.02,0.1,0.02,0.1,0.1,0.1,0.0,0.447,0.0,0.02
35,0.1,0.02,0.0,0.1,0.0,0.1,0.414,0.414,0.414,0.02,0.414,0.414,0.0,0.0,0.1,0.414,0.1,0.0,0.0,0.414,0.1,0.1,0.02,0.0,0.0,0.1,0.0,0.414,0.1,0.0,0.1,0.0,0.1,0.0,0.414,0.1,0.02,0.414,0.414,1.0,0.1,1.0,0.1,0.0,0.1,0.1,0.0,1.0,0.02,0.02
36,0.1,0.02,0.02,0.02,0.02,0.02,0.1,0.1,0.1,0.02,0.1,0.1,0.0,0.02,0.1,0.02,0.1,0.0,0.02,0.1,0.0,0.0,0.0,0.0,0.02,0.1,0.02,0.1,0.1,0.02,0.1,0.02,0.02,0.0,0.447,0.1,0.0,0.02,0.02,1.0,0.02,0.1,0.02,0.0,0.02,0.02,0.0,1.0,0.0,0.02
37,0.02,0.02,0.02,0.02,0.0,0.447,0.1,0.02,0.447,0.1,0.1,0.02,0.0,0.0,0.1,0.1,0.02,0.0,0.0,0.1,0.1,0.02,0.02,0.1,0.0,0.02,0.02,0.1,0.02,0.0,0.1,0.02,0.02,0.0,0.1,0.02,0.02,0.1,0.1,1.0,0.0,0.1,0.1,0.0,0.0,0.02,0.0,0.447,0.0,0.0
38,0.1,0.0,0.1,0.02,0.02,0.02,0.1,0.02,1.0,0.1,0.1,0.1,0.0,0.0,0.02,0.1,0.1,0.0,0.0,0.1,0.0,0.02,0.02,0.02,0.02,0.1,0.0,0.1,0.02,0.0,0.1,0.0,0.02,0.0,0.1,0.02,0.0,0.1,0.1,1.0,0.02,0.1,0.02,0.02,0.02,0.0,0.02,0.1,0.02,0.02
39,0.1,0.02,0.1,0.02,0.02,0.1,0.1,0.447,0.1,0.1,0.02,0.1,0.0,0.0,0.1,0.447,0.02,0.0,0.0,0.02,0.0,0.02,0.0,0.02,0.02,0.02,0.0,1.0,0.02,0.0,0.02,0.02,0.02,0.0,0.1,0.1,0.02,0.02,0.02,1.0,0.02,0.447,0.02,0.1,0.1,0.02,0.02,0.1,0.0,0.02
40,0.1,0.02,0.0,0.02,0.02,0.1,0.447,0.02,0.447,0.1,0.02,0.1,0.0,0.02,0.1,0.1,0.02,0.0,0.0,0.447,0.0,0.02,0.0,0.02,0.0,0.02,0.02,0.1,0.0,0.0,0.1,0.0,0.02,0.0,0.1,0.02,0.02,0.02,0.02,1.0,0.02,0.1,0.1,0.1,0.02,0.0,0.0,0.1,0.0,0.02
41,0.02,0.02,0.02,0.02,0.02,1.0,0.1,0.02,0.1,0.02,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.447,0.0,0.1,0.02,0.02,0.0,0.02,0.0,0.1,0.02,0.02,0.1,0.02,0.0,0.0,0.1,0.1,0.0,0.02,0.1,1.0,0.02,0.1,0.02,0.02,0.1,0.0,0.0,0.447,0.02,0.0
