id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,BuildingType,StructureType,OccupancyClass_Actual,OccupancyClass,NightPopulation,DayPopulation,geometry,DesignLevel,HeightClass,DS,DV
26,37.65666880007512,-122.0120559071056,1559.5,2.0,1993,1756695.4500000002,1171130.3,W,W1,RES1,RES1,2,0,POINT Z (-122.01205590710559 37.656668800075124 0),High-Code,,1,0.07028000000000001
27,37.65654445483198,-122.01187509947697,1899.5,2.0,1993,1717364.77,1144909.85,W,W1,RES1,RES1,3,1,POINT Z (-122.01187509947697 37.65654445483198 0),High-Code,,1,0.06682
28,37.656417914500054,-122.01171480249997,1731.0,2.0,1993,1601763.0,1067842.0,W,W1,RES1,RES1,3,2,POINT Z (-122.01171480249995 37.656417914500054 0),High-Code,,1,0.07454
29,37.65629321833267,-122.0115612294662,1708.5,2.0,1993,1585785.21,1057190.14,W,W1,RES1,RES1,2,0,POINT Z (-122.01156122946621 37.65629321833267 0),High-Code,,1,0.07654000000000001
30,37.656164983164906,-122.01141220420298,1899.5,2.0,1993,1717364.77,1144909.85,W,W1,RES1,RES1,4,2,POINT Z (-122.01141220420298 37.656164983164906 0),High-Code,,1,0.06640000000000001
31,37.65601726450003,-122.01128593499996,1731.0,2.0,1993,1601763.0,1067842.0,W,W1,RES1,RES1,2,0,POINT Z (-122.01128593499996 37.65601726450003 0),High-Code,,1,0.09573999999999998
32,37.65589610733224,-122.01112781797124,1899.5,2.0,1993,1717364.77,1144909.85,W,W1,RES1,RES1,2,0,POINT Z (-122.01112781797123 37.65589610733224 0),High-Code,,1,0.08802
33,37.655778677828664,-122.01098765013424,1708.5,2.0,1993,1585785.21,1057190.14,W,W1,RES1,RES1,2,0,POINT Z (-122.01098765013425 37.655778677828664 0),High-Code,,1,0.09669999999999998
34,37.65567540250538,-122.01082929633228,1731.0,2.0,1993,1601763.0,1067842.0,W,W1,RES1,RES1,4,2,POINT Z (-122.01082929633229 37.65567540250538 0),High-Code,,1,0.07414000000000001
35,37.65554894228983,-122.00269831318096,4045.0,1.0,1993,1961279.98,871679.99,C,PC2,COM1,COM1,0,7,POINT Z (-122.00269831318097 37.65554894228983 0),High-Code,Low-Rise,2,0.18547999999999998
36,37.6555589974786,-122.01066212017165,1899.5,2.0,1993,1717364.77,1144909.85,W,W1,RES1,RES1,3,2,POINT Z (-122.01066212017165 37.6555589974786 0),High-Code,,1,0.08734
37,37.65534836778532,-122.01054253204916,1731.0,2.0,1993,1601763.0,1067842.0,W,W1,RES1,RES1,3,1,POINT Z (-122.01054253204917 37.65534836778532 0),High-Code,,1,0.08362000000000001
38,37.655074851500075,-122.0103802215,1899.5,2.0,1993,1717364.77,1144909.85,W,W1,RES1,RES1,4,2,POINT Z (-122.01038022149999 37.655074851500075 0),High-Code,,1,0.0816
39,37.65484937768856,-122.01056537740396,1559.5,2.0,1993,1483767.97,989178.65,W,W1,RES1,RES1,3,2,POINT Z (-122.01056537740395 37.654849377688556 0),High-Code,,1,0.10161999999999999
40,37.65468871750006,-122.01068163749996,1708.5,2.0,1993,1673373.2199999995,1115582.15,W,W1,RES1,RES1,3,2,POINT Z (-122.01068163749996 37.65468871750006 0),High-Code,,1,0.08041999999999999
41,37.65453948554211,-122.01087685383582,1731.0,2.0,1993,1601763.0,1067842.0,W,W1,RES1,RES1,3,2,POINT Z (-122.01087685383582 37.65453948554211 0),High-Code,,1,0.09508
42,37.6544316301585,-122.01106140711958,1899.5,2.0,1993,1717364.77,1144909.85,W,W1,RES1,RES1,4,2,POINT Z (-122.01106140711958 37.6544316301585 0),High-Code,,1,0.09630000000000001
43,37.654257724414705,-122.01310397858256,2478.5,2.0,1993,2077839.26,1385226.17,W,W1,RES1,RES1,3,2,POINT Z (-122.01310397858255 37.654257724414705 0),High-Code,,1,0.07214000000000001
44,37.654230992497595,-122.01332929034776,2217.0,2.0,1993,1922958.08,1281972.05,W,W1,RES1,RES1,2,0,POINT Z (-122.01332929034776 37.654230992497595 0),High-Code,,1,0.08682000000000001
45,37.654167016500054,-122.01419146749996,2478.5,2.0,1993,2077839.26,1385226.17,W,W1,RES1,RES1,2,0,POINT Z (-122.01419146749996 37.654167016500054 0),High-Code,,1,0.12322000000000001
46,37.654173762430496,-122.013757466075,2478.5,2.0,1993,2077839.26,1385226.17,W,W1,RES1,RES1,3,2,POINT Z (-122.01375746607499 37.654173762430496 0),High-Code,,1,0.07814000000000002
47,37.65419334166113,-122.0135322498282,1799.0,2.0,1993,1649276.21,1099517.47,W,W1,RES1,RES1,2,0,POINT Z (-122.0135322498282 37.65419334166113 0),High-Code,,1,0.10681999999999998
48,37.654166550898786,-122.01396452275128,1799.0,2.0,1993,1649276.21,1099517.47,W,W1,RES1,RES1,4,2,POINT Z (-122.01396452275128 37.654166550898786 0),High-Code,,1,0.08894
49,37.654111861892375,-122.01241145210037,2478.0,2.0,1993,2077557.6,1385038.4,W,W1,RES1,RES1,2,0,POINT Z (-122.01241145210037 37.654111861892375 0),High-Code,,1,0.09213999999999999
50,37.65397584360672,-122.01227545684308,2217.0,2.0,1993,1922958.08,1281972.05,W,W1,RES1,RES1,2,0,POINT Z (-122.01227545684307 37.65397584360672 0),High-Code,,1,0.09014
51,37.653833681321515,-122.01216640979148,1898.5,2.0,1993,1716699.81,1144466.54,W,W1,RES1,RES1,3,2,POINT Z (-122.01216640979148 37.653833681321515 0),High-Code,,1,0.11509999999999998
52,37.652084147494776,-122.00795879620584,1610.0,2.0,1993,1514336.67,1009557.78,W,W1,RES1,RES1,3,1,POINT Z (-122.00795879620583 37.652084147494776 0),High-Code,,1,0.09054000000000001
53,37.64912703785259,-122.00435218978916,1139.0,2.0,1993,1197803.52,798535.68,W,W1,RES1,RES1,2,0,POINT Z (-122.00435218978915 37.64912703785259 0),High-Code,,1,0.07868
54,37.650390359547394,-122.00525908786848,1488.0,2.0,1993,1440950.58,960633.72,W,W1,RES1,RES1,2,0,POINT Z (-122.00525908786847 37.650390359547394 0),High-Code,,1,0.09948
55,37.65234588910634,-122.00825007381567,1610.0,2.0,1993,1514336.67,1009557.78,W,W1,RES1,RES1,2,0,POINT Z (-122.00825007381569 37.65234588910634 0),High-Code,,1,0.08693999999999999
56,37.65041556851784,-122.0061410296484,1774.0,2.0,1993,1631943.5300000005,1087962.35,W,W1,RES1,RES1,2,0,POINT Z (-122.00614102964839 37.65041556851784 0),High-Code,,1,0.07454000000000001
57,37.65080942350808,-122.00674853516284,1553.5,2.0,1993,1480268.03,986845.35,W,W1,RES1,RES1,3,1,POINT Z (-122.00674853516284 37.65080942350808 0),High-Code,,1,0.08801999999999997
58,37.64923614284131,-122.00579962783016,1553.5,2.0,1993,1480268.03,986845.35,W,W1,RES1,RES1,2,1,POINT Z (-122.00579962783017 37.64923614284131 0),High-Code,,1,0.10364
59,37.65024943777753,-122.00647451928177,1553.5,2.0,1993,1480268.03,986845.35,W,W1,RES1,RES1,2,0,POINT Z (-122.00647451928175 37.65024943777753 0),High-Code,,1,0.08453999999999999
60,37.653636673888094,-122.01023018625152,1968.5,2.0,1993,1762638.88,1175092.59,W,W1,RES1,RES1,2,0,POINT Z (-122.01023018625152 37.653636673888094 0),High-Code,,1,0.09294000000000001
61,37.6510071954045,-122.00560352734304,1773.5,2.0,1993,1631595.27,1087730.18,W,W1,RES1,RES1,3,2,POINT Z (-122.00560352734303 37.6510071954045 0),High-Code,,1,0.09587999999999999
62,37.652848685828445,-122.011109764002,2071.0,2.0,1993,1829881.85,1219921.23,W,W1,RES1,RES1,2,0,POINT Z (-122.01110976400199 37.652848685828445 0),High-Code,,1,0.09187999999999999
63,37.64944750783951,-122.00516873635642,1553.5,2.0,1993,1480268.03,986845.35,W,W1,RES1,RES1,2,0,POINT Z (-122.00516873635642 37.64944750783951 0),High-Code,,1,0.07828000000000002
64,37.642192012591195,-121.99380248814164,1032.0,1.0,1993,702676.86,326826.45,S,S2,COM8,COM8,0,3,POINT Z (-121.99380248814163 37.642192012591195 0),High-Code,Low-Rise,2,0.14336000000000002
65,37.657486278118775,-122.01333572472412,1731.0,2.0,1993,1601763.0,1067842.0,W,W1,RES1,RES1,2,0,POINT Z (-122.01333572472412 37.657486278118775 0),High-Code,,1,0.08282
66,37.654178157212264,-122.01485240997614,2217.0,2.0,1993,1922958.08,1281972.05,W,W1,RES1,RES1,3,1,POINT Z (-122.01485240997614 37.654178157212264 0),High-Code,,1,0.09949999999999998
67,37.65111131550616,-122.00580870037489,1553.5,2.0,1993,1480268.03,986845.35,W,W1,RES1,RES1,2,1,POINT Z (-122.00580870037489 37.65111131550616 0),High-Code,,1,0.10149999999999998
68,37.649289678558674,-122.00448443069608,1001.3333333333334,3.0,1993,1449525.16,966350.11,W,W1,RES1,RES1,4,2,POINT Z (-122.00448443069607 37.649289678558674 0),High-Code,,1,0.09335999999999998
69,37.64847778535519,-122.00443897005746,1001.3333333333334,3.0,1993,1449525.16,966350.11,W,W1,RES1,RES1,4,2,POINT Z (-122.00443897005746 37.64847778535519 0),High-Code,,1,0.08413999999999999
70,37.649956510881104,-122.00672897820236,1773.5,2.0,1993,1631595.27,1087730.18,W,W1,RES1,RES1,2,0,POINT Z (-122.00672897820237 37.649956510881104 0),High-Code,,1,0.10602
71,37.65093739013934,-122.0066212482852,1488.0,2.0,1993,1440950.58,960633.72,W,W1,RES1,RES1,2,0,POINT Z (-122.00662124828521 37.65093739013934 0),High-Code,,1,0.07668
72,37.65583706409043,-122.0165710215686,2157.5,2.0,1993,1885597.56,1257065.04,W,W1,RES1,RES1,3,2,POINT Z (-122.01657102156861 37.65583706409043 0),High-Code,,1,0.07908000000000001
73,37.64831873080015,-122.00484897298138,883.3333333333334,3.0,1993,1334281.54,889521.03,W,W1,RES1,RES1,2,0,POINT Z (-122.00484897298138 37.64831873080015 0),High-Code,,1,0.09655999999999999
74,37.65741575994713,-122.01447157669402,1708.5,2.0,1993,1585785.21,1057190.14,W,W1,RES1,RES1,2,0,POINT Z (-122.01447157669402 37.65741575994713 0),High-Code,,1,0.09693999999999998
75,37.650742807503846,-122.00629515916516,1832.5,2.0,1993,1764580.46,1176386.97,W,W1,RES1,RES1,4,2,POINT Z (-122.00629515916516 37.650742807503846 0),High-Code,,1,0.07414000000000001
76,37.65601073090893,-122.0166266658228,2525.0,2.0,1993,2103790.67,1402527.11,W,W1,RES1,RES1,2,0,POINT Z (-122.0166266658228 37.65601073090893 0),High-Code,,1,0.09373999999999999
77,37.65024192702958,-122.0051660455539,1774.0,2.0,1993,1631943.5300000005,1087962.35,W,W1,RES1,RES1,3,1,POINT Z (-122.0051660455539 37.65024192702958 0),High-Code,,1,0.09908000000000002
78,37.649597180904784,-122.00552232905456,1470.0,2.0,1993,1429789.64,953193.09,W,W1,RES1,RES1,2,0,POINT Z (-122.00552232905456 37.649597180904784 0),High-Code,,1,0.06720000000000001
79,37.65031194431892,-122.00695174626064,1650.0,2.0,1993,1543646.07,1029097.38,W,W1,RES1,RES1,2,0,POINT Z (-122.00695174626064 37.65031194431892 0),High-Code,,1,0.084
80,37.653002269000424,-122.01094356906806,1774.0,2.0,1993,1631943.5300000005,1087962.35,W,W1,RES1,RES1,2,1,POINT Z (-122.01094356906806 37.653002269000424 0),High-Code,,1,0.11004000000000001
81,37.65707391940895,-122.0169061298261,2525.0,2.0,1993,2103790.67,1402527.11,W,W1,RES1,RES1,3,1,POINT Z (-122.0169061298261 37.65707391940895 0),High-Code,,1,0.09817999999999999
82,37.65546474766245,-122.01655253595804,2525.0,2.0,1993,2220043.5700000003,1480029.05,W,W1,RES1,RES1,2,0,POINT Z (-122.01655253595804 37.65546474766245 0),High-Code,,1,0.08588000000000001
83,37.65717716513116,-122.01506840317542,1899.5,2.0,1993,1717364.77,1144909.85,W,W1,RES1,RES1,3,2,POINT Z (-122.01506840317542 37.65717716513116 0),High-Code,,1,0.09176000000000001
84,37.648424273621714,-122.00454155692506,2021.0,1.0,1993,606242.96,449068.86,C,PC2,RES3A,RES3,2,1,POINT Z (-122.00454155692506 37.648424273621714 0),High-Code,Low-Rise,2,0.20617999999999997
