loc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
98,1,2,2,0,1,2,2,2,2,1,1,2,0,2,2,3,1,0,0,1,1,0,0,2,1,1,0,2,0,0,1,1,1,1,2,1,0,2,1,4,1,2,2,2,2,1,1,4,0,1
99,1,2,2,2,2,2,2,2,2,2,3,1,0,1,1,2,1,0,0,2,1,1,1,0,1,2,0,2,0,0,1,0,0,1,2,1,1,2,2,4,1,2,2,1,2,1,2,2,0,0
100,1,1,1,2,0,2,4,2,1,1,2,2,0,0,1,2,2,0,0,3,0,1,0,1,0,1,0,3,1,0,3,1,0,1,3,1,1,2,2,4,1,1,2,2,2,1,1,2,0,0
101,2,1,2,1,2,2,2,2,2,1,2,1,0,0,1,3,2,1,0,3,1,1,1,2,0,2,0,1,1,0,1,1,1,0,1,1,1,2,2,4,1,2,2,0,2,0,0,3,1,1
102,1,1,2,1,2,2,3,2,2,2,2,1,0,0,1,2,2,1,0,4,0,0,0,1,1,1,1,2,1,0,2,1,0,1,2,2,0,2,2,4,1,2,2,2,2,2,1,2,1,1
103,2,2,1,1,0,1,1,2,2,2,1,1,0,0,2,2,1,0,0,3,1,1,0,1,0,2,1,2,1,0,2,1,1,2,4,1,0,2,2,4,1,3,1,2,2,0,1,2,1,2
104,2,1,1,1,0,2,2,2,3,2,2,2,0,0,2,2,2,0,0,2,1,0,1,1,1,1,0,2,2,0,1,1,0,0,3,1,1,2,2,4,1,2,3,1,2,1,0,2,0,0
105,1,3,1,2,1,3,3,1,2,1,2,2,0,0,1,2,1,0,0,2,0,1,0,1,1,2,0,2,2,0,2,0,1,1,1,2,0,2,1,4,1,2,1,1,2,1,0,2,0,1
106,2,2,1,1,1,1,2,2,2,2,1,2,0,1,2,2,1,0,1,4,0,1,0,1,1,1,0,2,2,0,2,1,2,1,2,1,1,2,2,4,1,2,1,1,2,1,1,3,1,0
107,0,1,1,1,1,3,2,2,3,2,1,2,0,1,2,3,1,0,0,3,2,2,1,1,0,1,0,2,0,0,2,0,1,0,2,1,0,2,2,4,1,2,1,1,2,1,2,2,0,0
108,2,1,2,0,1,2,3,2,2,1,1,1,0,0,1,3,1,0,1,3,1,1,0,1,1,2,0,1,1,0,1,0,1,1,2,1,1,2,2,4,0,2,1,2,2,2,1,2,0,1
109,2,1,0,1,2,2,2,2,4,2,2,1,0,0,2,2,1,0,0,4,1,0,0,1,0,2,0,2,1,0,1,0,2,1,2,1,0,2,2,4,1,2,2,1,2,1,0,3,1,0
110,1,1,1,0,0,1,2,2,2,2,2,1,0,0,2,3,1,0,0,2,1,1,0,2,0,2,0,4,1,0,2,1,1,1,3,1,1,1,1,4,1,3,1,1,2,1,1,4,0,0
111,1,2,0,1,1,1,2,2,2,3,1,2,1,1,2,2,2,0,0,1,1,1,0,1,2,1,0,2,1,0,2,0,1,1,3,2,1,2,1,4,1,2,0,1,2,1,1,3,1,1
112,2,1,1,1,2,2,3,2,2,1,1,2,1,0,2,2,2,0,1,2,0,1,1,1,1,2,0,2,1,0,2,1,0,1,1,1,0,2,2,3,1,2,1,1,2,0,1,3,0,1
113,2,1,1,2,0,2,3,3,2,1,1,2,0,1,2,2,1,0,1,2,1,1,0,1,0,2,0,1,2,0,2,1,1,1,2,1,1,2,3,4,0,2,2,1,2,2,2,2,0,0
114,1,0,2,2,1,1,2,2,2,1,2,2,0,2,1,2,2,0,1,3,1,1,1,2,1,1,0,2,1,0,1,1,2,0,1,1,1,2,2,4,1,1,1,1,1,1,0,3,0,1
115,2,2,1,1,2,2,2,2,2,2,2,2,0,0,1,2,0,0,1,2,0,0,0,1,1,1,0,2,1,1,1,1,2,0,2,1,0,1,1,4,1,2,1,2,1,2,1,3,0,1
116,2,1,1,1,1,2,3,3,2,1,1,2,0,0,2,2,1,0,0,2,0,1,0,1,1,2,1,2,2,0,2,0,1,1,2,1,1,1,1,4,2,3,1,1,2,1,0,4,1,0
117,1,3,1,0,1,2,2,2,2,1,2,2,0,1,1,2,2,0,0,2,1,1,0,1,1,2,0,3,2,0,1,1,1,0,1,1,1,1,2,4,1,2,1,1,1,1,1,3,0,1
118,2,1,0,2,1,2,2,2,4,2,1,2,0,1,3,2,2,0,0,2,1,1,0,0,1,2,1,3,1,0,1,0,2,0,2,0,0,1,1,4,1,2,1,1,2,1,1,2,0,1
119,2,1,1,1,1,2,2,1,3,1,2,1,0,1,1,2,2,1,1,2,1,2,0,1,1,2,0,1,2,0,2,0,1,0,1,1,0,1,2,4,1,2,1,1,2,1,0,3,0,1
120,1,1,2,1,1,2,2,2,2,2,2,1,1,0,2,2,1,0,1,1,0,1,1,0,1,2,0,2,1,0,4,1,1,0,3,2,1,0,2,4,0,2,1,2,2,1,1,3,0,0
121,1,1,2,2,2,3,2,2,2,1,1,1,0,0,2,2,2,0,0,2,0,0,1,2,1,2,0,3,2,0,2,1,1,1,3,0,0,2,2,4,1,2,0,2,1,2,1,3,0,1
122,2,1,2,1,2,1,2,2,3,1,1,2,0,1,1,2,1,0,1,2,1,0,0,1,1,1,0,2,1,0,0,1,1,0,2,1,0,2,2,4,2,1,1,1,2,1,0,4,1,2
123,1,2,1,1,2,2,2,3,1,2,0,2,0,0,1,2,2,0,0,3,0,2,1,1,1,1,1,2,1,1,2,1,1,0,1,1,1,2,2,3,0,2,1,1,2,1,1,3,1,1
124,2,1,1,2,1,2,3,3,1,2,1,2,0,0,2,2,1,0,0,2,2,1,0,2,1,2,1,2,1,0,1,0,1,1,2,2,1,1,2,4,1,2,1,1,1,1,1,2,0,0
125,2,1,1,1,2,2,2,2,3,1,2,2,0,0,1,2,1,1,0,2,0,0,1,1,1,2,0,2,1,1,1,1,1,1,1,1,1,1,2,4,1,2,2,1,1,2,2,3,0,0
126,1,2,1,1,2,2,1,2,2,1,2,1,0,1,2,2,2,0,1,1,1,1,0,2,2,2,0,2,0,0,3,1,2,1,2,2,0,1,2,4,1,2,1,1,1,1,1,2,0,1
127,2,2,2,0,2,2,2,4,2,1,1,1,0,0,2,2,1,0,0,2,2,1,1,2,1,1,0,2,0,0,2,0,2,0,2,2,1,2,2,4,1,3,1,0,1,1,1,2,0,1
128,2,0,1,1,0,2,2,2,2,2,1,2,0,1,2,2,3,0,0,2,1,0,0,0,0,2,1,2,1,0,1,1,1,0,1,2,1,1,2,4,0,2,1,1,0,2,1,3,0,1
129,2,2,2,2,2,2,2,1,2,2,1,2,0,0,1,2,2,0,0,2,1,1,1,1,0,1,1,2,1,0,2,1,1,0,2,1,0,1,2,4,0,1,2,1,2,2,1,4,0,1
130,2,1,2,0,1,3,2,2,2,2,1,1,0,1,1,2,1,0,1,2,2,1,0,1,1,2,0,2,1,0,1,2,2,1,1,1,1,2,1,4,1,1,1,1,2,1,0,4,0,1
