id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass,OccupancyClass_Actual,NumberOfUnits,CensusBlock,CensusTract,FootprintID,geometry,DesignLevel,HeightClass
0,37.633033100197515,-122.07910216213979,1119.0,1.0,1957.0,286284.96,190856.64,W1,W,RES1,RES1,1.0,60014376001012.0,6001437600.0,16562.0,POINT (-122.07910216213979 37.633033100197515),Moderate-Code,
1,37.64690016447754,-122.07409300692386,1070.0,1.0,1986.0,273748.80000000005,182499.2,W1,W,RES1,RES1,1.0,60014378003007.0,6001437800.0,11593.0,POINT (-122.07409300692386 37.64690016447754),High-Code,
2,37.62450688137189,-122.08104304068532,546.2277797674909,1.0,1956.0,139746.91517571488,93164.61011714325,W1,W,RES1,RES1,1.0,60014384002000.0,6001438400.0,5349.0,POINT (-122.08104304068532 37.62450688137189),Moderate-Code,
3,37.66564209621091,-122.0872223918849,882.0,2.0,2006.0,451301.76,300867.84,W1,W,RES1,RES1,1.0,60014363021007.0,6001436302.0,20917.0,POINT (-122.0872223918849 37.66564209621091),High-Code,
4,37.658550959510194,-122.13108253135059,121784.0,1.0,1999.0,24747117.72,16498078.48,RM1,M,IND2,IND2,2.0,60014371014006.0,6001437101.0,6353.0,POINT (-122.13108253135059 37.658550959510194),High-Code,Low-Rise
5,37.65688528403466,-122.08555966314935,21161.70912819,1.0,1988.0,4300165.103393849,2866776.735595899,RM1,M,COM2,COM2,2.0,60014366022000.0,6001436602.0,18201.0,POINT (-122.08555966314935 37.65688528403466),High-Code,Low-Rise
6,37.638703520770896,-122.08440046178907,2037.725771795625,1.0,1955.0,521331.7614561927,347554.5076374618,W1,W,RES1,RES1,1.0,60014374002020.0,6001437400.0,37229.0,POINT (-122.08440046178907 37.638703520770896),Moderate-Code,
7,37.635870060814476,-122.09647711193591,610.2708978207794,1.0,1958.0,156131.7064984682,104087.80433231214,W1,W,RES1,RES1,1.0,60014373003006.0,6001437300.0,22595.0,POINT (-122.09647711193591 37.635870060814476),Moderate-Code,
8,37.646928724384374,-122.10037535451643,1215.0,1.0,1960.0,310845.6,207230.4,W1,W,RES1,RES1,1.0,60014370003016.0,6001437000.0,22258.0,POINT (-122.10037535451643 37.646928724384374),Moderate-Code,
9,37.64334274260059,-122.09677046007748,1276.0,1.0,1959.0,326451.83999999997,217634.56,W1,W,RES1,RES1,1.0,60014370001010.0,6001437000.0,26867.0,POINT (-122.09677046007748 37.64334274260059),Moderate-Code,
10,37.65105416108828,-122.08029830674717,2052.5919882826583,1.0,1951.0,525135.1342822353,350090.0895214902,W1,W,RES1,RES1,1.0,60014366022007.0,6001436602.0,22046.0,POINT (-122.08029830674717 37.65105416108828),Moderate-Code,
11,37.67086654294602,-122.07829561234928,1193.0,1.0,1949.0,305217.12,203478.08000000002,W1,W,RES1,RES1,1.0,60014354002024.0,6001435400.0,17233.0,POINT (-122.07829561234928 37.67086654294602),Moderate-Code,
12,37.6405037663816,-122.11219152816543,1333.3333333333333,1.5,1994.0,511680.0,341120.0,W1,W,RES1,RES1,1.0,60014372002004.0,6001437200.0,12616.0,POINT (-122.11219152816543 37.6405037663816),High-Code,
13,37.669101596027836,-122.09511688180673,756.0,1.0,1928.0,193415.04,128943.36,W1,W,RES1,RES1,1.0,60014363011010.0,6001436301.0,11021.0,POINT (-122.09511688180673 37.669101596027836),Moderate-Code,
