id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass,OccupancyClass_Actual,NumberOfUnits,NightPopulation,CensusBlock,CensusTract,FootprintID,geometry,DesignLevel,HeightClass
35,37.65015257856449,-122.11979620900374,1373.0,1.0,1940.0,3775429.14,1563550.04,W1,W,RES1,RES1,1.0,5.0,60014372001002,6001437200,26130,POINT (-122.11979620900374 37.65015257856449),Moderate-Code,
36,37.63500897330875,-122.07978765116945,1157.0,1.0,1958.0,378936.83999999997,252624.56,W1,W,RES1,RES1,1.0,2.0,60014376002007,6001437600,29181,POINT (-122.07978765116945 37.63500897330875),Moderate-Code,
37,37.64263011767399,-122.07426594445865,1142.0,1.0,1955.0,354194.0,236129.33,W1,W,RES1,RES1,1.0,3.0,60014375002015,6001437500,17847,POINT (-122.07426594445865 37.64263011767399),Moderate-Code,
38,37.622342534575814,-122.0438246950545,1612.6666666666667,2.0,1999.0,955348.52,636899.01,W1,W,RES1,RES1,1.0,3.0,60014381001012,6001438100,33958,POINT (-122.0438246950545 37.622342534575814),High-Code,
39,37.61007929192561,-122.09232174372089,1662.523030314478,2.0,2005.0,1123832.34,749221.56,W1,W,RES1,RES1,1.0,3.0,60014371011013,6001437101,4192,POINT (-122.09232174372089 37.61007929192561),High-Code,
40,37.661295716174,-122.09817115064627,1082.0,1.0,1951.0,379307.11,252871.41,W1,W,RES1,RES1,1.0,2.0,60014367001003,6001436700,30854,POINT (-122.09817115064627 37.661295716174),Moderate-Code,
41,37.6486054518193,-122.09242643978664,2395.0,1.0,1978.0,619751.6,413167.73,W1,W,RES1,RES1,1.0,2.0,60014368002002,6001436800,9820,POINT (-122.09242643978664 37.6486054518193),High-Code,
42,37.646619761413696,-122.10810333901506,1227.0,1.0,1955.0,393143.16000000003,262095.44,W1,W,RES1,RES1,1.0,4.0,60014372002000,6001437200,36159,POINT (-122.10810333901506 37.646619761413696),Moderate-Code,
43,37.66041342799737,-122.09197452727012,3060.3333333333335,3.0,2014.0,1406424.52,1041795.94,W1,W,RES3,RES3C,6.0,17.0,60014363012010,6001436301,4757,POINT (-122.09197452727012 37.66041342799737),High-Code,
44,37.67874703764534,-122.08882659212699,989.3333333333334,2.0,1940.0,391627.68000000005,290094.58,W1,W,RES1,RES3A,2.0,4.0,60014355002016,6001435500,2501,POINT (-122.08882659212699 37.67874703764534),Moderate-Code,
45,37.68018956000484,-122.09103629695655,1812.0,1.0,1939.0,358018.02,238678.68,W1,W,RES1,RES1,1.0,1.0,60014355002011,6001435500,30010,POINT (-122.09103629695655 37.68018956000484),Moderate-Code,
46,37.6250214092869,-122.07669003203824,1000.0,1.0,1955.0,338658.69,225772.46,W1,W,RES1,RES1,1.0,4.0,60014382011008,6001438201,5223,POINT (-122.07669003203824 37.6250214092869),Moderate-Code,
47,37.642989242802884,-122.09751740211408,1290.0,1.0,1958.0,435175.58999999997,290117.06,W1,W,RES1,RES1,1.0,3.0,60014370001008,6001437000,4708,POINT (-122.09751740211408 37.642989242802884),Moderate-Code,
48,37.651544878527055,-122.0070987756925,2134.6997912202555,2.0,2013.0,1490716.68,993811.12,W1,W,RES1,RES1,1.0,2.0,60014351031019,6001435103,1681,POINT (-122.0070987756925 37.651544878527055),High-Code,
49,37.63760606554614,-122.05824794670382,1296.0,1.0,1982.0,354562.85,236375.23,W1,W,RES1,RES1,1.0,4.0,60014379001021,6001437900,22678,POINT (-122.05824794670382 37.63760606554614),High-Code,
