id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass,OccupancyClass_Actual,NumberOfUnits,CensusBlock,CensusTract,FootprintID,geometry,DesignLevel,HeightClass
0,37.63229948089946,-122.06913274527825,927.0,1.0,1952.0,237163.68,158109.12,W1,W,RES1,RES1,1.0,60014377012002.0,6001437701.0,5128.0,POINT (-122.06913274527825 37.63229948089946),Moderate-Code,
1,37.63129782285026,-122.10607916182897,473.4439721653163,1.0,1960.0,121125.90583877455,80750.60389251636,W1,W,RES1,RES1,1.0,60014371013000.0,6001437101.0,20440.0,POINT (-122.10607916182897 37.63129782285026),Moderate-Code,
2,37.61349970265454,-122.03653125812592,1161.0,1.0,1956.0,297030.24,198020.16,W1,W,RES1,RES1,1.0,60014381004010.0,6001438100.0,9274.0,POINT (-122.03653125812592 37.61349970265454),Moderate-Code,
3,37.618315291053726,-122.09162426336715,824.5,2.0,1966.0,421880.16000000003,281253.44,W1,W,RES1,RES1,1.0,60014371012003.0,6001437101.0,36230.0,POINT (-122.09162426336715 37.618315291053726),Moderate-Code,
4,37.6610084526112,-122.08330020175987,576.0,1.0,1928.0,147363.84,98242.56,W1,W,RES1,RES1,1.0,60014366011008.0,6001436601.0,20977.0,POINT (-122.08330020175987 37.6610084526112),Moderate-Code,
5,37.637956068241365,-122.10881400667724,1244.0,1.0,1961.0,318264.96,212176.64,W1,W,RES1,RES1,1.0,60014372003010.0,6001437200.0,25735.0,POINT (-122.10881400667724 37.637956068241365),Moderate-Code,
6,37.63185380303008,-122.06131303213341,76.14142049039413,1.0,1964.0,8442.560703974901,5628.373802649934,MH,H,RES2,RES2,1.0,60014382041005.0,6001438204.0,2824.0,POINT (-122.06131303213341 37.63185380303008),Moderate-Code,
7,37.644930062638295,-122.06802732441184,1869.09600029,1.5,1982.0,478189.5207141936,318793.01380946237,W1,W,RES1,RES1,1.0,60014378001002.0,6001437800.0,1593.0,POINT (-122.06802732441184 37.644930062638295),High-Code,
8,37.630734215544244,-122.05695360284592,2877.03759937,1.0,1964.0,319005.9290181456,212670.6193454304,MH,H,RES2,RES2,1.0,60014382042007.0,6001438204.0,27272.0,POINT (-122.05695360284592 37.630734215544244),Moderate-Code,
9,37.66686346351787,-122.07769877935614,5725.0,2.0,1964.0,3727833.75,2485222.5,W1,W,RES3,RES3E,21.0,60014364032004.0,6001436403.0,11621.0,POINT (-122.07769877935614 37.66686346351787),Moderate-Code,
10,37.61909486445553,-122.07039611771012,1194.6666666666667,1.5,1994.0,458465.28,305643.52,W1,W,RES1,RES1,1.0,60014382031030.0,6001438203.0,5747.0,POINT (-122.07039611771012 37.61909486445553),High-Code,
11,37.67590032091113,-122.0730551501347,1310.7285969421948,1.0,1953.0,335336.80424169113,223557.86949446076,W1,W,RES1,RES1,1.0,60014353001011.0,6001435300.0,11843.0,POINT (-122.0730551501347 37.67590032091113),Moderate-Code,
12,37.64458655972356,-122.07836315527553,1130.0,1.0,1954.0,289099.19999999995,192732.8,W1,W,RES1,RES1,1.0,60014375002009.0,6001437500.0,2191.0,POINT (-122.07836315527553 37.64458655972356),Moderate-Code,
13,37.66118988422735,-122.09012680901787,2527.3333333333335,3.0,2013.0,2845410.87,1896940.58,W1,W,RES3,RES3C,5.0,60014363012010.0,6001436301.0,10976.0,POINT (-122.09012680901787 37.66118988422735),High-Code,
