ID,lon,lat,vs30,z1pt0,z2pt5,vsInferred
0,-121.992,37.6003,404.35232051512975,326.66668701171875,3220.0,1
1,-121.992,37.6033,413.26583328368673,326.66668701171875,3220.0,1
2,-121.992,37.6067,423.36781442138175,340.0,3220.0,1
3,-121.992,37.6097,432.2813271899388,340.0,3220.0,1
4,-121.992,37.6127,441.19483995849566,340.0,3220.0,1
5,-121.992,37.6157,450.10835272705265,340.0,3220.0,1
6,-121.992,37.6191,460.2103338647687,340.0,3220.0,1
7,-121.992,37.6221,469.12384663332574,340.0,3220.0,1
8,-121.992,37.6251,478.03735940188267,340.0,3110.0,1
9,-121.992,37.6285,488.13934053957763,340.0,3110.0,1
10,-121.992,37.6315,497.0528533081347,340.0,3110.0,1
11,-121.992,37.6345,502.50000000000006,340.0,3110.0,1
12,-121.992,37.6378,502.50000000000006,326.66668701171875,3060.0,1
13,-121.992,37.6408,502.5,326.66668701171875,3060.0,1
14,-121.992,37.6439,502.5,326.66668701171875,3060.0,1
15,-121.992,37.6469,502.5,346.66668701171875,3220.0,1
16,-121.992,37.6502,502.5,346.66668701171875,3220.0,1
17,-121.992,37.6532,502.50000000000006,346.66668701171875,3220.0,1
18,-121.992,37.6562,502.5,333.33331298828125,3313.33349609375,1
19,-121.992,37.6596,502.5,333.33331298828125,3313.33349609375,1
20,-121.992,37.6626,502.5,333.33331298828125,3313.33349609375,1
21,-121.992,37.6656,502.5,346.66668701171875,3206.66650390625,1
22,-121.992,37.669,500.3293726318442,346.66668701171875,3206.66650390625,1
23,-121.992,37.672,497.53856601563433,346.66668701171875,3206.66650390625,1
24,-121.992,37.675,494.7477593994245,346.66668701171875,3206.66650390625,1
25,-121.992,37.678,491.9569527832148,340.0,3206.66650390625,1
26,-121.992,37.6813,488.8870655053813,340.0,3206.66650390625,1
27,-121.992,37.6844,486.00323200196806,340.0,3206.66650390625,1
28,-121.992,37.6874,483.2124253857582,340.0,3206.66650390625,1
29,-121.992,37.6907,480.1425381079248,340.0,3206.66650390625,1
30,-121.992,37.6937,477.35173149171493,340.0,3206.66650390625,1
31,-121.998,37.6003,381.106817479241,346.66668701171875,2744.30126953125,1
32,-121.998,37.6033,392.13142537719284,346.66668701171875,2744.30126953125,1
33,-121.998,37.6067,404.6259809948681,340.0,3413.33349609375,1
34,-121.998,37.6097,415.65058889282,340.0,3413.33349609375,1
35,-121.998,37.6127,426.6751967907718,340.0,3413.33349609375,1
36,-121.998,37.6157,437.69980468872376,346.66668701171875,2503.47119140625,1
37,-121.998,37.6191,450.1943603064251,346.66668701171875,2503.47119140625,1
38,-121.998,37.6221,461.2189682043769,346.66668701171875,2503.47119140625,1
39,-121.998,37.6251,472.2435761023288,346.66668701171875,3150.0,1
40,-121.998,37.6285,484.7381317200042,346.66668701171875,3150.0,1
41,-121.998,37.6315,495.7627396179561,346.66668701171875,3150.0,1
42,-121.998,37.6345,502.49999999999994,346.66668701171875,3150.0,1
43,-121.998,37.6378,502.49999999999994,340.0,3150.0,1
44,-121.998,37.6408,502.49999999999994,340.0,3150.0,1
45,-121.998,37.6439,502.4999999999999,340.0,3150.0,1
46,-121.998,37.6469,502.5,333.33331298828125,3120.0,1
47,-121.998,37.6502,502.49999999999994,333.33331298828125,3120.0,1
48,-121.998,37.6532,502.5,333.33331298828125,3120.0,1
49,-121.998,37.6562,502.49999999999994,333.33331298828125,3150.0,1
50,-121.998,37.6596,502.50000000000006,333.33331298828125,3150.0,1
51,-121.998,37.6626,502.49999999999994,333.33331298828125,3150.0,1
52,-121.998,37.6656,502.4999999999999,346.66668701171875,3320.0,1
53,-121.998,37.669,501.957343157962,346.66668701171875,3320.0,1
54,-121.998,37.672,501.2596415039108,346.66668701171875,3320.0,1
55,-121.998,37.675,500.5619398498596,346.66668701171875,3320.0,1
56,-121.998,37.678,499.8642381958084,326.66668701171875,3210.0,1
57,-121.998,37.6813,499.0967663763514,326.66668701171875,3210.0,1
58,-121.998,37.6844,498.3758080004992,326.66668701171875,3210.0,1
59,-121.998,37.6874,497.678106346448,333.33331298828125,3210.0,1
60,-121.998,37.6907,496.9106345269911,333.33331298828125,3210.0,1
61,-121.998,37.6937,496.21293287293986,333.33331298828125,3210.0,1
62,-122.003,37.6003,366.34035798524064,346.66668701171875,2744.30126953125,1
63,-122.003,37.6033,378.70601669495863,346.66668701171875,2744.30126953125,1
64,-122.003,37.6067,392.7204298993019,340.0,3413.33349609375,1
65,-122.003,37.6097,405.0860886090199,340.0,3413.33349609375,1
66,-122.003,37.6127,417.45174731873794,340.0,3413.33349609375,1
67,-122.003,37.6157,429.81740602845593,346.66668701171875,2503.47119140625,1
68,-122.003,37.6191,443.8318192328285,346.66668701171875,2503.47119140625,1
69,-122.003,37.6221,456.19747794254647,346.66668701171875,2503.47119140625,1
70,-122.003,37.6251,468.5631366522646,346.66668701171875,3150.0,1
71,-122.003,37.6285,482.5775498566077,346.66668701171875,3150.0,1
72,-122.003,37.6315,494.9432085663257,346.66668701171875,3150.0,1
73,-122.003,37.6345,502.49999999999994,346.66668701171875,3150.0,1
74,-122.003,37.6378,502.5,340.0,3150.0,1
75,-122.003,37.6408,502.5,340.0,3150.0,1
76,-122.003,37.6439,502.5,340.0,3150.0,1
77,-122.003,37.6469,502.5,333.33331298828125,3120.0,1
78,-122.003,37.6502,502.5,333.33331298828125,3120.0,1
79,-122.003,37.6532,502.50000000000006,333.33331298828125,3120.0,1
80,-122.003,37.6562,502.5,333.33331298828125,3150.0,1
81,-122.003,37.6596,502.5,333.33331298828125,3150.0,1
82,-122.003,37.6626,502.5,333.33331298828125,3150.0,1
83,-122.003,37.6656,502.49999999999994,346.66668701171875,3320.0,1
84,-122.003,37.669,501.5512199615509,346.66668701171875,3320.0,1
85,-122.003,37.672,500.3313599121122,346.66668701171875,3320.0,1
86,-122.003,37.675,499.11149986267344,346.66668701171875,3320.0,1
87,-122.003,37.678,497.89163981323475,326.66668701171875,3210.0,1
88,-122.003,37.6813,496.549793758851,326.66668701171875,3210.0,1
89,-122.003,37.6844,495.28927170776586,326.66668701171875,3210.0,1
90,-122.003,37.6874,494.0694116583272,333.33331298828125,3210.0,1
91,-122.003,37.6907,492.72756560394345,333.33331298828125,3210.0,1
92,-122.003,37.6937,491.5077055545047,333.33331298828125,3210.0,1
93,-122.009,37.6003,352.30444102112926,171.11111450195312,882.5,1
94,-122.009,37.6033,365.9448046014529,171.11111450195312,882.5,1
95,-122.009,37.6067,381.40388332581557,340.0,968.8268432617188,1
96,-122.009,37.6097,395.0442469061393,340.0,968.8268432617188,1
97,-122.009,37.6127,408.68461048646304,340.0,968.8268432617188,1
98,-122.009,37.6157,422.32497406678675,8.886419296264648,15.554567337036133,1
99,-122.009,37.6191,437.7840527911816,8.886419296264648,15.554567337036133,1
100,-122.009,37.6221,451.42441637150534,8.886419296264648,15.554567337036133,1
101,-122.009,37.6251,465.0647799518291,340.0,1746.7548828125,1
102,-122.009,37.6285,480.52385867619176,340.0,1746.7548828125,1
103,-122.009,37.6315,494.1642222565155,340.0,1746.7548828125,1
104,-122.009,37.6345,502.5,340.0,1746.7548828125,1
105,-122.009,37.6378,502.49999999999994,346.66668701171875,3160.0,1
106,-122.009,37.6408,502.49999999999994,346.66668701171875,3160.0,1
107,-122.009,37.6439,502.5,346.66668701171875,3160.0,1
108,-122.009,37.6469,502.4999999999999,340.0,3110.0,1
109,-122.009,37.6502,502.5,340.0,3110.0,1
110,-122.009,37.6532,502.5,340.0,3110.0,1
111,-122.009,37.6562,502.5,346.66668701171875,3210.0,1
112,-122.009,37.6596,502.5,346.66668701171875,3210.0,1
113,-122.009,37.6626,502.5,346.66668701171875,3210.0,1
114,-122.009,37.6656,502.5,333.33331298828125,3220.0,1
115,-122.009,37.669,499.6536598846526,333.33331298828125,3220.0,1
116,-122.009,37.672,495.99407973633646,333.33331298828125,3220.0,1
117,-122.009,37.675,492.3344995880204,333.33331298828125,3220.0,1
118,-122.009,37.678,488.67491943970424,340.0,3306.66650390625,1
119,-122.009,37.6813,484.6493812765531,340.0,3306.66650390625,1
120,-122.009,37.6844,480.86781512329765,340.0,3306.66650390625,1
121,-122.009,37.6874,477.20823497498156,333.33331298828125,3220.0,1
122,-122.009,37.6907,473.18269681183034,333.33331298828125,3220.0,1
123,-122.009,37.6937,469.5231166635142,333.33331298828125,3220.0,1
124,-122.014,37.6003,340.60784355104744,171.11111450195312,882.5,1
125,-122.014,37.6033,355.31046119020823,171.11111450195312,882.5,1
126,-122.014,37.6067,371.97342784791925,340.0,968.8268432617188,1
127,-122.014,37.6097,386.67604548708005,340.0,968.8268432617188,1
128,-122.014,37.6127,401.3786631262409,340.0,968.8268432617188,1
129,-122.014,37.6157,416.08128076540174,8.886419296264648,15.554567337036133,1
130,-122.014,37.6191,432.74424742314744,8.886419296264648,15.554567337036133,1
131,-122.014,37.6221,447.4468650623083,8.886419296264648,15.554567337036133,1
132,-122.014,37.6251,462.1494827014692,340.0,1746.7548828125,1
133,-122.014,37.6285,478.8124493591801,340.0,1746.7548828125,1
134,-122.014,37.6315,493.51506699834096,340.0,1746.7548828125,1
135,-122.014,37.6345,502.49999999999994,340.0,1746.7548828125,1
136,-122.014,37.6378,502.50000000000006,346.66668701171875,3160.0,1
137,-122.014,37.6408,502.5,346.66668701171875,3160.0,1
138,-122.014,37.6439,502.5000000000001,346.66668701171875,3160.0,1
139,-122.014,37.6469,502.5,340.0,3110.0,1
140,-122.014,37.6502,502.5,340.0,3110.0,1
141,-122.014,37.6532,502.50000000000006,340.0,3110.0,1
142,-122.014,37.6562,502.5,346.66668701171875,3210.0,1
143,-122.014,37.6596,502.50000000000006,346.66668701171875,3210.0,1
144,-122.014,37.6626,502.5,346.66668701171875,3210.0,1
145,-122.014,37.6656,502.5,333.33331298828125,3220.0,1
146,-122.014,37.669,498.0723598205723,333.33331298828125,3220.0,1
147,-122.014,37.672,492.37967958986025,333.33331298828125,3220.0,1
148,-122.014,37.675,486.6869993591482,333.33331298828125,3220.0,1
149,-122.014,37.678,480.9943191284362,340.0,3306.66650390625,1
150,-122.014,37.6813,474.73237087464753,340.0,3306.66650390625,1
151,-122.014,37.6844,468.8499346362522,340.0,3306.66650390625,1
152,-122.014,37.6874,463.15725440554024,333.33331298828125,3220.0,1
153,-122.014,37.6907,456.8953061517516,333.33331298828125,3220.0,1
154,-122.014,37.6937,451.2026259210395,333.33331298828125,3220.0,1
155,-122.02,37.6003,326.571926586936,170.95889282226562,870.0,1
156,-122.02,37.6033,342.54924909670245,170.95889282226562,870.0,1
157,-122.02,37.6067,360.6568812744329,171.11111450195312,882.5,1
158,-122.02,37.6097,376.63420378419937,171.11111450195312,882.5,1
159,-122.02,37.6127,392.611526293966,171.11111450195312,882.5,1
160,-122.02,37.6157,408.58884880373245,0.0,0.0,1
161,-122.02,37.6191,426.69648098150066,0.0,0.0,1
162,-122.02,37.6221,442.6738034912672,0.0,0.0,1
163,-122.02,37.6251,458.65112600103384,0.0,0.0,1
164,-122.02,37.6285,476.7587581787641,0.0,0.0,1
165,-122.02,37.6315,492.7360806885307,0.0,0.0,1
166,-122.02,37.6345,502.5,0.0,0.0,1
167,-122.02,37.6378,502.5,333.33331298828125,1447.42138671875,1
168,-122.02,37.6408,502.5,333.33331298828125,1447.42138671875,1
169,-122.02,37.6439,502.5,333.33331298828125,1447.42138671875,1
170,-122.02,37.6469,502.5,346.66668701171875,3210.0,1
171,-122.02,37.6502,502.5,346.66668701171875,3210.0,1
