id,Latitude,Longitude,PlanArea,NumberOfStories,YearBuilt,ReplacementCost,StructureValue,StructureType,BuildingType,OccupancyClass,OccupancyClass_Actual,NumberOfUnits,CensusBlock,CensusTract,FootprintID,geometry,DesignLevel,HeightClass
0,37.63229948089946,-122.06913274527825,927.0,1.0,1952.0,237163.68,158109.12,W1,W,RES1,RES1,1.0,60014377012002.0,6001437701.0,5128.0,POINT (-122.06913274527825 37.63229948089946),Moderate-Code,
1,37.63337243979794,-122.081856887927,1500.0,1.0,1961.0,383760.0,255840.0,W1,W,RES1,RES1,1.0,60014376002008.0,6001437600.0,20438.0,POINT (-122.081856887927 37.63337243979794),Moderate-Code,
2,37.61349970265454,-122.03653125812592,1161.0,1.0,1956.0,297030.24,198020.16,W1,W,RES1,RES1,1.0,60014381004010.0,6001438100.0,9274.0,POINT (-122.03653125812592 37.61349970265454),Moderate-Code,
3,37.62535305047687,-122.0871081902058,1088.700290459739,1.0,1957.0,278533.08231121965,185688.7215408131,W1,W,RES1,RES1,1.0,60014383002012.0,6001438300.0,36229.0,POINT (-122.0871081902058 37.62535305047687),Moderate-Code,
4,37.638482749395344,-122.05811234341533,792.0,1.0,1940.0,202625.27999999997,135083.52,W1,W,RES1,RES1,1.0,60014379001010.0,6001437900.0,20974.0,POINT (-122.05811234341533 37.638482749395344),Moderate-Code,
5,37.61907827054345,-122.07067071259723,1648.5473173140147,1.5,1996.0,632646.5184924263,421764.3456616175,W1,W,RES1,RES1,1.0,60014382031030.0,6001438203.0,25734.0,POINT (-122.07067071259723 37.61907827054345),High-Code,
6,37.63185380303008,-122.06131303213341,76.14142049039413,1.0,1964.0,8442.560703974901,5628.373802649934,MH,H,RES2,RES2,1.0,60014382041005.0,6001438204.0,2824.0,POINT (-122.06131303213341 37.63185380303008),Moderate-Code,
7,37.644930062638295,-122.06802732441184,1869.09600029,1.5,1982.0,478189.5207141936,318793.01380946237,W1,W,RES1,RES1,1.0,60014378001002.0,6001437800.0,1593.0,POINT (-122.06802732441184 37.644930062638295),High-Code,
8,37.630635081544646,-122.05682976983361,2413.57413454,1.0,1976.0,267617.1000377952,178411.4000251968,MH,H,RES2,RES2,1.0,60014382042007.0,6001438204.0,27271.0,POINT (-122.05682976983361 37.630635081544646),High-Code,
9,37.66686346351787,-122.07769877935614,5725.0,2.0,1964.0,3727833.75,2485222.5,W1,W,RES3,RES3E,21.0,60014364032004.0,6001436403.0,11621.0,POINT (-122.07769877935614 37.66686346351787),Moderate-Code,
