loc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
30,0,2,1,2,1,3,1,3,5,1,1,2,0,0,2,4,1,0,2,3,0,1,1,2,2,1,0,3,1,2,2,2,0,1,2,1,0,3,1,5,0,2,2,1,2,2,0,4,1,1
31,2,2,2,2,1,4,2,4,2,1,3,0,0,0,3,4,2,1,0,2,2,2,0,1,2,2,0,4,2,0,3,1,1,2,4,2,1,2,2,4,1,2,3,2,2,2,2,2,2,1
32,2,2,2,3,2,2,2,3,2,2,1,2,2,0,2,3,1,2,1,4,1,2,0,2,1,3,1,2,0,0,2,2,1,0,2,1,0,2,3,4,3,4,2,2,2,3,2,2,0,1
33,2,2,2,3,0,2,1,2,2,2,2,2,1,1,1,2,2,1,0,3,1,0,1,2,1,1,0,4,2,0,2,2,1,1,3,1,0,3,3,4,2,4,2,1,1,1,1,3,2,2
34,1,1,1,1,1,1,3,3,3,2,1,2,0,1,1,2,2,0,0,2,0,1,1,1,1,2,1,2,1,0,2,1,1,0,1,1,1,2,2,4,0,2,1,2,1,1,2,2,2,1
35,1,1,1,1,2,1,2,2,2,2,3,2,0,1,2,1,4,0,0,2,0,0,0,1,1,2,0,2,1,0,2,1,0,1,2,1,1,2,1,4,1,1,1,1,2,0,0,3,0,2
36,1,2,1,2,1,3,1,2,2,1,2,1,0,1,2,4,1,1,0,3,2,2,0,2,2,1,0,4,2,0,3,2,1,0,1,0,1,2,3,3,2,3,2,1,2,3,2,4,0,2
37,0,1,1,1,1,0,2,3,2,2,1,0,0,2,1,1,2,1,1,2,0,1,1,2,1,2,1,2,1,0,1,1,1,0,0,1,0,1,1,4,1,2,2,1,1,1,0,1,0,1
38,1,1,1,1,2,3,2,3,2,2,2,0,0,0,1,3,2,0,0,2,1,1,0,2,1,4,0,2,2,0,2,1,2,0,2,1,1,2,3,4,4,4,4,2,1,1,2,3,1,1
39,1,3,2,1,0,2,1,2,2,2,3,1,0,0,2,2,2,1,0,2,1,2,0,1,1,2,1,3,2,0,2,2,2,0,2,2,2,2,3,4,3,4,2,2,2,0,1,3,1,1
40,3,3,3,4,2,4,4,4,4,3,4,2,2,2,3,4,4,1,1,4,2,3,3,3,4,3,3,4,3,1,3,3,2,1,3,2,1,4,4,4,3,4,4,3,3,3,3,3,1,2
41,3,2,2,2,2,2,2,2,4,2,1,2,1,2,2,2,2,1,1,3,0,2,1,1,1,2,1,3,1,0,1,2,0,0,1,1,1,4,3,4,2,2,2,2,2,1,2,2,0,1
42,2,4,1,1,0,3,1,1,3,3,1,1,0,0,2,2,2,1,1,4,0,3,2,1,1,2,1,4,0,0,2,1,0,0,1,2,0,3,2,4,2,3,2,1,3,2,2,4,1,2
43,1,1,0,2,2,3,2,2,2,2,0,1,0,0,1,1,1,0,0,3,0,1,0,2,1,2,0,2,0,0,1,1,1,0,0,1,0,2,1,3,2,3,2,1,1,1,0,3,0,2
44,1,1,1,2,2,1,3,3,2,2,3,2,1,0,2,2,3,0,0,2,2,4,0,2,1,3,1,2,2,1,2,2,1,1,2,1,2,2,2,2,3,3,2,2,2,2,2,3,0,1
45,2,1,2,1,1,2,3,2,4,1,3,1,0,1,1,2,2,0,0,3,1,2,2,2,2,2,0,3,3,0,4,1,1,2,1,2,1,2,3,2,2,4,2,0,1,2,2,3,0,1
46,2,2,1,1,0,2,2,3,2,2,1,1,0,1,2,2,1,0,1,2,2,2,1,2,2,4,2,2,2,0,3,0,0,1,2,1,1,2,2,4,3,4,3,2,1,2,3,4,0,1
47,2,1,1,1,0,3,2,3,2,2,1,0,2,1,2,1,2,1,1,3,2,1,2,2,1,3,1,3,2,0,2,3,2,0,2,1,2,2,1,5,3,3,2,1,2,2,2,4,0,0
48,1,1,1,2,1,2,3,4,2,2,2,1,0,0,3,3,2,1,1,3,2,1,0,2,2,4,1,3,2,0,4,2,1,1,1,1,2,3,2,3,2,4,2,1,2,2,2,2,0,1
49,1,2,1,1,3,2,2,2,2,1,3,1,0,0,2,2,0,0,0,4,2,1,0,2,1,3,1,3,2,0,2,2,0,1,1,1,2,3,4,4,3,3,2,2,2,4,2,3,1,2
50,1,2,1,2,1,2,1,2,2,2,3,0,1,2,1,1,2,1,1,3,0,2,0,1,2,2,1,3,2,0,2,2,3,1,2,1,0,2,3,4,4,4,2,2,1,1,2,4,0,0
51,1,2,2,1,1,2,2,2,3,2,1,0,1,0,2,2,1,0,0,2,0,2,1,1,1,0,0,2,3,0,2,2,1,1,1,2,1,0,1,2,2,2,2,1,1,2,1,3,0,2
52,2,3,2,2,1,2,2,3,4,0,3,1,0,1,2,3,2,1,0,3,0,2,1,2,2,2,1,2,2,0,1,1,0,1,2,1,0,2,3,4,2,3,2,2,2,3,2,4,1,2
53,1,2,2,0,2,2,3,2,2,1,4,1,0,0,1,3,2,1,0,4,1,2,2,2,2,3,1,3,2,0,4,2,1,0,1,1,0,2,2,4,3,4,2,2,2,1,2,2,0,2
54,1,4,1,1,1,2,4,3,3,1,2,1,1,1,2,3,1,1,0,4,1,2,1,2,1,1,1,4,3,0,1,1,2,0,2,1,0,2,2,4,3,4,3,0,1,2,3,4,1,1
55,0,2,2,1,1,2,1,3,4,1,2,2,1,2,2,4,2,0,1,2,1,2,1,1,1,3,2,4,2,0,2,2,2,2,1,2,2,3,3,4,2,2,3,1,0,2,1,2,1,1
56,0,0,2,1,2,2,2,3,1,1,1,2,0,1,1,2,1,0,1,2,2,1,2,1,1,1,1,3,0,0,2,1,0,0,2,1,0,0,1,4,0,2,1,1,1,1,0,1,0,2
57,3,1,0,2,1,3,2,2,4,0,2,2,0,1,2,2,0,0,0,2,1,2,1,1,3,1,0,4,2,1,3,2,0,1,2,1,2,1,3,3,2,4,2,3,2,2,2,4,0,1
58,1,2,0,2,1,2,2,2,3,1,2,2,1,1,1,3,1,1,2,3,1,1,0,2,3,2,0,4,2,2,2,1,0,1,1,2,1,2,3,4,2,4,1,2,2,2,2,4,0,0
59,1,1,1,2,1,2,1,3,2,2,1,2,0,0,1,2,0,1,0,2,0,1,1,1,1,1,0,2,2,0,2,2,1,0,1,2,0,1,1,4,2,4,1,1,2,2,2,3,0,2
60,1,1,1,1,2,2,0,2,2,2,1,1,1,1,1,1,1,1,0,2,0,1,0,1,1,1,0,3,1,0,3,2,0,1,1,2,0,1,1,4,2,3,2,1,1,1,1,4,0,0
61,1,2,1,2,1,2,1,2,2,2,1,0,1,0,0,2,1,0,0,4,1,2,0,2,0,2,0,4,0,0,2,1,0,0,0,2,0,3,2,4,2,4,2,0,1,2,0,1,0,1
62,2,2,1,2,2,1,1,4,4,2,2,1,0,2,2,4,1,0,0,4,1,2,1,2,2,2,0,3,2,1,2,1,0,0,2,0,2,2,2,4,2,4,2,2,4,1,3,4,0,2
63,1,2,1,1,1,2,2,2,2,1,2,1,0,1,1,4,2,1,0,2,1,2,1,1,1,1,0,3,1,0,3,2,1,0,0,1,1,2,1,4,1,3,2,0,0,1,0,2,1,0
64,1,1,1,2,2,2,1,2,2,1,1,1,0,1,0,3,1,1,0,2,0,1,1,2,1,2,1,2,0,0,2,1,1,0,1,0,0,2,1,4,1,2,1,0,1,3,0,2,0,2
65,1,2,1,0,1,2,1,2,2,1,0,1,1,1,1,2,1,1,0,2,2,2,1,1,1,1,0,4,0,1,0,1,0,0,0,1,1,2,1,2,2,1,1,0,1,1,1,2,1,2
66,0,2,0,2,0,2,2,1,2,1,1,1,0,0,0,3,0,2,0,3,1,2,1,1,1,1,1,3,2,0,2,1,1,1,1,1,1,1,2,4,2,3,1,2,1,2,2,3,0,0
67,0,1,0,1,3,3,2,3,3,1,1,0,2,0,1,2,2,1,0,4,0,2,1,2,2,3,0,2,2,0,2,1,2,1,2,2,2,1,3,4,2,3,2,1,2,1,4,2,1,1
68,2,2,2,2,2,3,1,3,3,1,1,0,0,0,2,2,2,0,1,3,2,2,1,1,2,2,1,3,3,0,3,2,0,1,2,0,1,1,3,4,2,3,2,2,0,1,4,3,0,0
69,2,2,1,2,0,2,2,3,2,2,4,2,0,2,2,3,2,1,0,2,0,1,1,3,1,2,0,2,0,1,0,1,0,0,1,1,1,2,1,4,1,2,2,1,2,0,1,3,0,0
70,2,2,1,2,2,2,3,3,4,1,1,1,0,1,1,3,0,0,1,4,0,3,1,2,1,1,2,2,2,0,2,2,1,0,2,1,1,2,4,4,2,4,2,1,4,2,2,3,0,2
71,2,3,2,1,1,2,2,2,2,3,2,0,1,0,1,2,1,0,1,4,0,2,0,4,1,2,1,4,1,0,1,3,0,0,3,2,2,3,3,4,2,4,2,1,0,2,3,2,1,2
72,0,2,2,2,1,4,2,3,4,2,1,2,0,0,1,3,2,1,0,4,1,2,2,2,1,3,1,4,1,0,2,4,0,2,1,1,1,2,3,4,2,3,3,0,2,2,2,1,1,1
73,1,2,1,2,0,3,1,4,3,1,2,1,0,2,0,2,2,0,1,2,2,1,2,2,1,2,1,4,1,1,2,2,0,0,2,1,0,2,1,4,2,2,0,1,2,1,3,4,0,0
74,1,2,1,2,0,2,2,2,3,1,1,1,0,1,1,1,1,0,0,2,0,1,0,1,2,2,1,2,1,0,1,2,1,0,1,1,0,2,2,4,2,4,1,0,2,1,1,2,0,3
75,1,4,1,2,2,1,2,2,4,1,2,1,0,1,2,2,1,1,0,2,1,1,1,2,1,2,2,2,1,0,1,2,0,0,2,1,0,3,2,4,2,4,3,2,3,2,5,3,0,2
76,1,2,3,1,1,2,2,3,2,2,1,0,1,0,1,1,2,1,1,3,2,2,1,1,2,1,0,2,2,0,2,2,0,0,2,1,1,2,2,4,3,4,2,1,2,1,2,2,1,1
77,1,2,0,1,2,2,2,3,2,2,0,3,1,0,0,2,2,0,0,2,1,1,1,2,1,2,0,2,1,0,2,2,0,0,2,0,1,2,1,4,0,3,2,0,3,2,2,2,0,2
78,1,2,1,2,2,3,2,2,3,1,3,2,0,2,2,4,2,2,0,4,2,2,2,1,1,2,0,4,2,0,3,3,2,1,3,0,1,2,2,4,0,2,2,2,1,1,2,2,0,1
79,0,2,1,1,3,1,4,2,4,1,5,2,0,1,2,2,1,1,0,4,1,1,1,1,1,2,1,4,2,0,3,4,1,1,2,0,2,2,2,4,2,4,4,1,2,2,1,4,0,2
80,0,2,2,2,2,3,4,2,4,1,4,1,3,0,2,3,1,2,0,2,1,2,1,1,2,2,2,2,2,1,2,2,1,0,3,1,1,2,4,3,3,4,3,1,1,1,1,4,0,0
81,1,2,1,1,1,1,2,2,3,2,1,1,2,1,2,1,2,0,0,2,0,1,0,2,2,1,0,2,2,1,2,1,1,0,1,1,2,2,2,4,3,3,2,1,2,2,1,3,1,2
82,1,2,1,3,1,2,2,2,2,2,2,1,1,1,1,2,2,0,0,3,2,1,1,2,1,2,0,2,1,1,2,1,1,0,2,1,0,2,2,3,3,2,1,1,2,2,2,3,0,0
83,1,2,0,2,2,2,2,1,3,2,2,1,0,0,1,2,2,1,0,3,0,1,0,2,1,1,0,3,2,0,1,2,2,0,2,1,0,2,2,3,3,3,2,1,4,2,2,3,1,2
84,2,2,1,2,2,1,3,2,4,1,2,1,2,2,1,3,3,2,1,3,2,2,1,3,1,2,2,3,3,1,2,3,2,2,3,2,0,2,3,4,4,4,3,2,3,2,3,4,2,2
85,1,2,1,4,1,2,2,2,3,1,0,1,1,1,2,1,1,0,0,2,0,2,1,1,0,1,1,2,2,0,2,1,0,0,2,2,0,2,2,4,2,2,1,2,0,2,1,1,1,1
86,1,2,1,2,1,1,2,1,2,2,1,0,1,0,2,2,2,1,0,2,1,0,2,1,1,2,0,2,1,0,2,0,0,0,1,2,1,2,1,3,2,3,2,2,1,2,0,1,0,1
87,1,3,1,2,2,3,1,1,3,1,1,2,2,1,2,4,2,1,1,3,2,2,1,2,1,1,1,2,0,1,1,2,1,0,1,1,1,1,3,4,2,4,2,0,1,2,1,2,0,2
88,1,2,1,2,2,4,2,1,2,2,2,0,2,0,3,4,2,0,0,3,1,1,0,0,2,2,1,3,2,0,3,1,1,0,2,3,1,2,2,4,2,4,3,1,1,2,3,3,1,0
89,0,1,1,2,1,3,4,2,3,2,3,2,1,1,2,3,2,0,1,4,1,3,1,1,1,2,0,4,2,0,4,2,1,0,3,1,2,2,2,3,2,3,3,2,1,2,2,4,0,1
90,1,1,1,2,2,1,0,3,2,2,1,0,1,0,2,3,2,2,0,2,1,2,2,2,2,2,1,2,3,1,2,1,0,0,2,2,1,2,2,4,3,4,2,1,1,2,1,4,1,1
91,2,2,2,3,3,3,4,5,2,3,3,2,1,2,3,3,4,2,1,3,3,3,3,2,3,2,2,3,3,1,4,3,2,1,3,3,3,5,3,4,4,4,4,2,3,4,3,3,0,3
92,2,0,1,2,3,2,4,3,2,2,4,0,2,0,1,4,2,1,0,4,1,3,0,2,2,4,0,4,3,0,5,3,1,2,3,4,3,4,4,4,4,5,3,1,2,2,3,3,2,1
93,0,1,2,1,2,3,2,2,2,2,3,1,1,1,2,2,1,0,1,3,0,3,1,2,2,3,1,4,4,0,2,3,0,1,2,2,2,2,1,4,2,3,3,1,1,2,2,2,0,1
94,1,2,2,1,1,2,3,2,2,2,2,2,1,0,1,2,1,0,0,4,1,2,0,1,1,2,0,2,3,0,2,0,0,2,2,2,1,2,3,4,4,3,2,2,2,4,2,3,0,2
95,1,1,1,0,0,2,2,2,2,2,1,0,1,0,1,1,0,0,0,2,2,1,0,1,1,1,0,2,1,0,2,2,0,0,2,1,0,1,0,3,2,2,1,0,2,2,1,1,0,1
96,1,2,0,2,1,2,1,2,1,1,2,1,1,1,2,2,1,0,1,2,0,2,1,1,1,1,1,3,1,0,0,1,0,0,1,1,2,1,2,4,1,1,2,2,2,2,2,4,0,2
97,2,1,1,0,1,3,1,2,2,2,1,1,1,1,1,3,2,1,0,2,1,2,0,1,1,1,0,2,1,0,2,0,1,1,2,0,1,2,2,4,1,2,2,1,1,0,0,2,0,1
98,1,2,0,1,1,2,4,4,2,1,1,3,0,1,1,2,2,0,0,4,1,2,0,2,2,1,1,4,0,0,2,2,1,2,1,1,1,1,0,4,2,3,1,1,1,2,2,2,0,2
99,1,4,1,1,1,2,3,3,3,1,1,2,1,2,1,4,2,1,0,3,0,2,2,1,2,4,0,4,3,0,2,2,2,0,4,2,2,2,2,4,1,2,4,2,1,1,1,4,0,1
100,1,2,1,1,2,2,1,2,2,2,1,1,0,0,2,2,2,0,0,2,0,1,2,1,1,2,0,2,1,0,3,1,1,0,4,1,1,1,2,4,0,3,1,1,2,2,0,1,0,1
101,2,1,1,3,2,3,4,2,3,1,1,1,1,2,2,3,2,0,0,4,0,2,1,3,0,3,2,2,2,0,1,2,0,2,2,1,2,3,2,4,2,4,3,2,2,1,2,4,0,0
102,1,1,3,1,3,3,3,3,3,1,2,2,0,1,2,2,2,1,1,3,1,2,2,4,2,3,0,2,1,0,1,0,1,2,2,1,1,2,3,4,2,4,2,1,2,2,2,4,0,3
103,1,3,0,2,1,2,1,2,3,2,1,1,0,1,2,3,2,1,0,2,0,3,2,1,0,2,0,4,1,0,2,2,1,0,1,1,2,2,2,4,2,2,4,1,2,1,1,2,1,1
104,2,2,0,2,2,2,2,2,4,2,2,3,1,1,1,4,2,1,0,5,1,0,1,2,0,1,1,2,1,0,2,2,0,0,2,2,0,4,2,3,2,4,2,0,3,1,2,3,0,2
105,1,2,1,1,1,2,2,2,4,1,3,2,2,1,1,3,5,0,0,3,0,1,1,2,1,2,1,2,1,0,2,2,0,0,2,1,1,4,4,4,2,4,3,2,0,2,2,3,0,2
106,1,1,1,0,0,3,2,2,2,1,1,0,0,1,1,3,2,0,0,4,1,1,1,1,1,1,0,2,1,1,2,1,0,0,1,2,0,3,1,2,2,3,1,0,2,1,1,3,0,2
107,3,4,3,4,4,4,5,4,4,4,4,2,3,2,2,4,2,3,3,4,3,3,3,4,3,4,5,4,4,3,5,4,3,4,4,4,3,5,4,5,4,4,4,4,2,4,5,4,1,4
108,2,2,1,2,3,2,2,2,3,2,2,2,0,1,2,3,4,1,2,2,0,3,1,1,0,2,2,4,1,0,2,0,0,0,1,1,0,2,1,4,0,4,2,2,1,1,2,4,0,1
109,2,2,2,3,2,2,3,3,3,1,0,2,0,2,1,3,2,0,0,4,0,3,0,1,2,1,1,2,1,0,3,2,0,0,2,1,0,3,3,4,0,3,3,2,1,1,1,3,1,1
110,1,1,1,3,2,2,1,1,2,1,1,1,0,0,1,2,1,0,0,1,1,1,1,2,1,0,0,2,1,0,1,2,0,1,2,0,0,1,1,4,2,2,1,0,2,2,1,2,1,2
111,2,3,2,1,2,2,2,4,1,1,2,0,0,0,2,4,2,0,0,2,2,1,2,2,1,2,0,3,4,0,1,3,2,1,1,1,0,3,2,4,2,4,3,2,3,2,2,3,0,1
112,0,2,1,1,1,2,4,3,2,1,2,0,0,1,2,2,2,2,2,3,1,2,2,2,1,2,1,2,4,1,2,1,2,1,1,1,1,2,4,4,3,4,2,2,2,2,2,3,0,0
113,2,1,0,1,1,1,1,2,2,1,1,2,2,0,2,2,1,1,0,2,0,1,1,1,1,1,0,3,0,0,2,1,0,0,2,1,0,1,1,4,1,2,2,0,1,0,1,2,1,1
114,1,2,1,2,1,2,2,3,2,3,2,1,1,0,1,2,2,0,0,1,1,2,1,1,0,2,0,2,1,0,1,0,0,0,1,1,1,1,1,4,1,2,1,2,1,1,1,2,1,0
115,1,2,0,1,1,2,2,1,4,2,1,1,1,1,1,2,1,1,1,2,0,2,1,2,1,1,0,2,1,0,2,0,1,0,0,1,1,2,2,3,2,2,2,0,1,0,1,2,2,1
116,1,2,1,1,1,2,2,1,4,2,1,1,0,1,1,2,1,0,1,3,0,1,1,2,1,2,0,3,0,1,2,2,1,0,1,1,0,1,1,4,2,2,1,1,0,1,1,1,0,2
117,1,1,1,1,2,2,1,3,1,1,0,1,2,1,0,2,1,0,0,3,0,2,1,1,1,1,0,4,0,1,0,1,1,0,2,1,0,1,0,4,2,3,1,0,2,1,2,1,1,2
118,0,0,0,2,0,2,0,3,3,2,2,1,0,1,0,1,0,0,0,2,0,1,0,2,1,2,0,2,2,0,2,2,0,0,1,0,0,2,1,3,4,4,1,1,2,3,1,2,0,1
119,1,2,0,2,1,3,2,3,4,2,2,1,1,1,1,2,2,0,1,4,2,2,0,2,1,1,1,4,3,0,2,3,1,0,0,2,1,3,2,4,1,2,3,1,2,1,2,4,0,3
120,0,2,1,1,2,2,1,4,2,1,1,0,1,0,0,2,2,0,0,1,1,1,1,2,1,1,0,1,0,0,1,1,0,0,1,1,0,2,2,4,1,2,0,1,2,1,1,2,1,1
121,1,2,0,0,1,2,2,2,2,1,1,0,0,0,1,2,2,1,1,3,1,1,1,1,2,0,0,3,0,0,2,1,0,0,2,1,0,1,2,3,1,1,2,2,1,1,1,2,1,0
122,1,1,1,2,2,2,2,3,2,1,1,0,0,1,1,2,0,1,0,3,1,0,0,1,2,1,0,3,1,0,1,1,0,0,1,1,0,2,0,3,1,3,0,1,1,1,1,2,0,2
123,1,3,1,2,1,3,2,3,2,2,2,0,0,1,2,2,1,1,1,2,1,4,1,1,1,2,0,3,2,0,1,0,1,1,1,3,0,3,2,4,1,2,2,1,0,2,1,2,0,1
124,1,2,1,1,1,2,2,2,2,1,1,0,0,1,1,2,2,1,2,1,0,2,0,1,1,2,2,3,1,0,2,2,0,0,2,1,1,2,2,4,1,2,1,1,1,2,1,2,1,1
125,0,3,1,1,1,2,1,2,2,1,2,1,0,1,2,2,2,1,0,2,0,2,1,1,0,0,0,3,1,1,2,0,0,0,1,2,1,2,1,4,1,2,1,1,1,0,1,1,0,0
126,2,2,1,1,0,2,1,2,2,0,1,0,0,0,1,2,2,0,0,3,0,2,1,1,1,1,0,2,2,0,1,1,1,0,0,1,1,2,2,4,2,3,1,1,2,1,0,2,0,1
127,1,1,1,2,2,4,1,4,2,2,1,0,0,0,2,2,2,1,1,2,2,3,1,2,1,3,0,2,2,0,3,2,1,0,2,2,0,3,2,4,2,4,2,1,2,2,2,4,0,0
128,1,1,1,1,3,2,2,2,1,1,1,1,1,0,0,2,1,2,0,2,1,1,1,2,1,1,1,3,0,0,1,1,0,0,1,2,0,1,1,2,2,2,2,1,1,1,0,2,1,1
129,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,1,1,0,4,1,1,1,1,1,2,2,2,0,0,2,1,0,0,1,1,0,1,1,4,1,3,2,0,1,1,2,2,0,2
130,2,1,1,2,3,1,2,4,2,1,2,2,1,0,0,2,1,1,0,3,1,2,1,3,1,2,1,2,2,0,2,2,2,0,1,1,0,2,3,4,2,3,1,0,2,3,2,2,0,1
131,1,1,1,2,1,2,3,2,2,2,2,1,2,1,1,2,2,1,0,2,2,1,1,2,2,2,0,2,3,0,2,2,2,1,2,1,1,2,3,4,2,4,4,2,2,2,2,4,1,1
132,1,1,2,2,2,4,3,3,4,2,2,3,1,0,3,4,2,1,0,3,1,2,1,1,2,2,0,3,3,0,3,1,2,0,2,2,1,3,1,4,1,2,3,1,1,3,2,4,2,0
133,1,2,0,3,1,2,3,2,4,2,1,2,0,1,1,2,1,0,0,3,1,2,2,2,1,0,1,2,0,1,2,2,0,0,2,0,2,1,3,4,4,3,3,0,1,2,2,2,0,2
134,1,3,1,2,1,2,1,3,3,2,2,1,1,1,2,4,2,0,0,2,0,1,1,2,0,1,0,4,0,2,2,1,1,1,1,2,0,2,2,4,2,3,2,1,2,2,1,2,0,1
