loc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
26,0.0,0.02,0.0,0.02,0.02,0.447,0.1,0.1,0.1,0.1,0.02,0.02,0.0,0.02,0.0,0.1,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.1,0.1,0.02,0.0,0.02,0.02,0.0,0.02,0.1,0.0,0.0,0.0,0.02,0.02,0.0,0.02,1.0,0.0,0.1,0.02,0.0,0.02,0.02,0.0,0.02,0.0,0.0
27,0.02,0.02,0.1,0.0,0.0,0.1,0.1,0.1,0.02,0.02,0.0,0.0,0.0,0.0,0.1,0.414,0.1,0.0,0.0,0.414,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.414,0.02,0.0,0.0,0.1,0.02,0.0,0.02,0.02,1.0,0.0,0.1,0.1,0.1,0.0,0.02,0.02,0.414,0.1,0.1
28,0.02,0.02,0.02,0.02,0.02,0.447,0.1,0.1,0.1,0.02,0.1,0.02,0.1,0.02,0.0,0.1,0.02,0.0,0.02,0.1,0.0,0.0,0.02,0.1,0.02,0.0,0.0,0.02,0.0,0.02,0.02,0.02,0.0,0.0,0.1,0.02,0.0,0.02,0.02,0.447,0.02,0.1,0.02,0.02,0.0,0.02,0.0,0.02,0.02,0.02
29,0.0,0.1,0.02,0.02,0.1,0.4,0.1,0.1,0.4,0.1,0.4,0.1,0.0,0.0,0.1,1.0,0.4,0.0,0.0,0.1,0.1,0.0,0.0,0.02,0.0,0.1,0.0,0.4,0.4,0.0,0.4,0.02,0.0,0.0,0.1,0.02,0.1,0.1,0.1,1.0,0.1,0.4,0.1,0.02,0.1,0.1,0.02,0.4,0.0,0.0
30,0.02,0.1,0.1,0.1,0.355,0.355,0.355,0.355,0.355,0.355,0.355,0.1,0.0,0.0,0.1,1.0,0.1,0.02,0.02,1.0,0.1,0.355,0.1,0.1,0.02,0.1,0.02,0.355,0.355,0.02,0.355,0.355,0.1,0.02,0.1,0.1,0.02,0.355,0.355,1.0,0.0,0.02,0.355,0.1,0.355,0.355,0.0,0.355,0.02,0.1
31,0.0,0.02,0.02,0.1,0.02,0.414,0.02,0.1,0.414,0.1,0.1,0.1,0.0,0.02,0.414,0.1,0.02,0.0,0.0,0.414,0.1,0.02,0.02,0.0,0.02,0.1,0.0,1.0,0.1,0.02,0.02,0.02,0.0,0.0,0.1,0.1,0.02,0.414,0.1,1.0,0.0,0.1,0.02,0.02,0.02,0.02,0.02,0.414,0.0,0.02
32,0.02,0.1,0.0,0.0,0.02,0.1,0.02,0.447,0.1,0.02,0.02,0.02,0.0,0.0,0.02,0.1,0.1,0.02,0.0,0.1,0.02,0.02,0.02,0.1,0.0,0.1,0.0,0.1,0.02,0.02,0.02,0.1,0.0,0.0,0.1,0.02,0.0,0.02,0.1,0.447,0.0,0.1,0.02,0.02,0.0,0.02,0.0,0.02,0.0,0.0
33,0.02,0.02,0.0,0.02,0.02,0.447,0.02,0.1,0.02,0.02,0.1,0.02,0.02,0.0,0.02,0.02,0.1,0.02,0.0,0.1,0.02,0.02,0.0,0.1,0.02,0.1,0.0,0.1,0.0,0.0,0.02,0.02,0.0,0.0,0.02,0.1,0.0,0.0,0.02,1.0,0.1,0.1,0.1,0.0,0.0,0.02,0.02,0.02,0.0,0.0
34,0.1,0.1,0.02,0.02,0.0,0.02,0.1,0.1,0.1,0.1,0.1,0.02,0.02,0.0,0.02,0.1,0.355,0.0,0.02,0.1,0.02,0.02,0.02,0.1,0.02,0.02,0.0,0.355,0.02,0.0,1.0,0.02,0.02,0.02,0.355,0.0,0.1,0.1,0.1,0.355,0.0,0.1,0.355,0.1,0.0,0.02,0.0,0.1,0.0,0.02
35,0.0,0.1,0.02,0.1,0.1,0.1,0.1,0.414,1.0,0.02,0.1,0.1,0.0,0.02,0.414,0.414,0.1,0.1,0.0,1.0,0.02,0.02,0.02,0.1,0.02,0.1,0.0,0.414,0.1,0.0,0.414,0.414,0.0,0.0,0.414,0.414,0.02,0.414,0.02,1.0,0.02,0.1,0.1,0.1,0.02,0.1,0.02,0.414,0.0,0.02
36,0.02,0.02,0.0,0.02,0.1,0.1,0.02,0.1,0.1,0.02,0.1,0.0,0.0,0.0,0.02,0.1,0.02,0.0,0.02,0.02,0.02,0.02,0.0,0.02,0.02,0.02,0.0,0.1,0.0,0.0,0.1,0.02,0.02,0.02,0.0,0.02,0.0,0.02,0.02,0.447,0.02,0.1,0.1,0.0,0.02,0.02,0.0,0.1,0.02,0.1
37,0.02,0.1,0.0,0.02,0.02,0.447,0.0,0.1,0.1,0.02,0.0,0.0,0.1,0.0,0.02,0.447,0.0,0.1,0.0,0.447,0.02,0.0,0.02,0.1,0.0,0.1,0.0,0.1,0.0,0.0,0.02,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.02,0.447,0.0,0.1,0.02,0.02,0.1,0.02,0.02,0.1,0.0,0.1
