loc,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
30,1,2,2,2,3,3,3,3,3,3,3,2,0,0,2,4,2,1,1,4,2,3,2,2,1,2,1,3,3,1,3,3,2,1,2,2,1,3,3,4,0,1,3,2,3,3,0,3,1,2
31,0,1,1,2,1,3,1,2,3,2,2,2,0,1,3,2,1,0,0,3,2,1,1,0,1,2,0,4,2,1,1,1,0,0,2,2,1,3,2,4,0,2,1,1,1,1,1,3,0,1
32,1,2,0,0,1,2,1,3,2,1,1,1,0,0,1,2,2,1,0,2,1,1,1,2,0,2,0,2,1,1,1,2,0,0,2,1,0,1,2,3,0,2,1,1,0,1,0,1,0,0
33,1,1,0,1,1,3,1,2,1,1,2,1,1,0,1,1,2,1,0,2,1,1,0,2,1,2,0,2,0,0,1,1,0,0,1,2,0,0,1,4,2,2,2,0,0,1,1,1,0,0
34,2,2,1,1,0,1,2,2,2,2,2,1,1,0,1,2,3,0,1,2,1,1,1,2,1,1,0,3,1,0,5,1,1,1,3,0,2,2,2,3,0,2,3,2,0,1,0,2,0,1
35,0,2,1,2,2,2,2,3,4,1,2,2,0,1,3,3,2,2,0,4,1,1,1,2,1,2,0,3,2,0,3,3,0,0,3,3,1,3,1,4,1,2,2,2,1,2,1,3,0,1
36,1,1,0,1,2,2,1,2,2,1,2,0,0,0,1,2,1,0,1,1,1,1,0,1,1,1,0,2,0,0,2,1,1,1,0,1,0,1,1,3,1,2,2,0,1,1,0,2,1,2
37,1,2,0,1,1,3,0,2,2,1,0,0,2,0,1,3,0,2,0,3,1,0,1,2,0,2,0,2,0,0,1,0,0,0,2,2,0,2,1,3,0,2,1,1,2,1,1,2,0,2
38,1,2,0,2,1,2,1,2,2,1,1,1,1,0,1,0,1,0,0,2,1,2,0,1,1,1,0,2,0,0,1,1,0,0,1,2,0,2,2,4,0,1,1,1,1,1,1,1,0,1
39,1,1,0,2,2,3,2,2,2,1,1,1,0,1,1,2,1,0,0,4,1,1,1,2,0,1,0,2,0,1,1,1,0,0,1,2,0,1,1,4,0,2,0,0,1,1,0,2,0,0
40,1,1,1,2,1,2,1,3,3,2,1,1,1,1,0,2,0,1,0,2,1,0,1,2,0,1,0,2,0,0,1,0,0,0,1,1,1,1,2,4,0,2,1,0,0,0,0,1,1,1
41,1,0,0,1,1,1,2,2,3,2,1,0,1,0,0,2,1,1,1,2,1,2,1,2,1,1,0,3,0,0,2,2,0,0,1,2,1,1,2,4,1,1,0,1,1,0,0,1,1,1
42,0,1,1,1,0,2,0,2,1,1,2,0,1,0,2,2,2,1,1,2,0,1,0,1,1,1,0,1,0,0,2,1,0,0,1,1,0,1,1,4,1,2,1,0,1,0,0,2,1,1
43,1,2,1,1,2,2,2,1,2,0,1,0,0,1,0,2,1,0,0,1,1,2,1,2,1,2,0,2,0,0,1,1,0,0,1,1,0,1,2,4,1,2,0,0,2,1,0,1,0,1
44,0,2,2,2,1,2,2,2,2,2,2,0,1,0,0,2,1,0,1,2,1,0,1,1,1,1,0,2,0,0,1,1,0,0,1,1,0,0,1,4,1,2,1,1,1,1,0,0,1,1
45,1,0,1,2,1,3,1,2,1,1,2,1,1,0,2,2,1,0,0,2,1,2,0,1,1,1,0,1,0,1,1,1,0,0,2,1,0,1,1,4,1,2,0,1,1,1,0,2,1,0
46,1,1,1,1,2,2,1,2,1,1,1,0,1,0,1,2,2,0,0,2,1,0,1,1,0,1,0,1,0,1,1,2,0,0,1,2,0,1,2,3,2,1,0,1,0,2,0,2,1,1
47,1,4,2,2,1,3,2,5,2,2,2,1,0,1,3,3,2,1,2,3,0,3,0,1,2,2,0,3,2,1,3,2,0,1,3,2,1,1,1,4,2,2,3,0,0,0,2,3,0,1
48,0,2,2,2,1,2,2,3,3,2,2,2,2,0,2,2,2,1,0,3,0,2,0,0,0,2,0,2,2,0,2,2,0,0,3,2,0,2,3,4,0,0,2,1,2,2,0,3,0,2
49,0,2,1,0,1,2,1,2,3,2,2,2,0,0,1,2,1,1,0,2,0,0,2,1,2,1,0,3,1,1,3,1,0,0,2,2,1,1,1,3,2,3,2,1,1,1,0,2,0,1
50,0,2,1,0,1,3,2,1,2,2,2,1,0,0,2,3,1,1,0,2,0,1,0,1,1,0,0,4,0,0,2,2,0,0,2,2,2,2,2,4,1,2,2,2,1,0,2,3,0,0
51,1,1,0,0,1,2,2,2,2,1,2,3,0,0,1,3,2,1,0,2,0,1,0,2,2,1,0,2,2,0,2,2,0,0,2,0,1,1,1,3,1,2,1,1,1,2,0,2,1,1
52,1,1,1,1,0,4,1,2,2,1,3,1,1,0,0,1,1,0,0,2,0,1,0,1,1,1,0,2,0,0,2,1,0,0,2,1,1,0,1,3,1,1,1,0,0,0,1,1,1,1
53,1,1,1,1,1,2,1,2,2,1,1,0,0,0,0,2,1,2,0,2,0,1,1,2,0,2,0,1,0,0,2,1,0,0,2,1,1,1,1,4,1,2,0,0,0,1,0,1,1,1
54,1,1,2,0,2,4,2,2,2,2,1,1,0,0,0,1,1,1,0,2,0,1,0,1,1,1,1,1,0,0,2,1,1,0,1,1,1,1,1,1,1,2,1,0,1,0,1,1,1,2
